V,I
0.302429199,-7.99255E-07
0.304870605,-8.01086E-07
0.307312012,-7.97119E-07
0.309753418,-7.99561E-07
0.312194824,-7.92847E-07
0.31463623,-7.97424E-07
0.317077637,-7.91016E-07
0.319519043,-7.94067E-07
0.321960449,-7.88574E-07
0.324401855,-7.901E-07
0.326843262,-7.88574E-07
0.329284668,-7.85828E-07
0.331726074,-7.91321E-07
0.33416748,-7.86133E-07
0.336608887,-7.87964E-07
0.339050293,-7.79114E-07
0.341491699,-7.85522E-07
0.343933105,-7.79419E-07
0.346374512,-7.83081E-07
0.348815918,-7.73926E-07
0.351257324,-7.78503E-07
0.35369873,-7.72705E-07
0.356140137,-7.724E-07
0.358581543,-7.69958E-07
0.361022949,-7.68738E-07
0.363464355,-7.67822E-07
0.365905762,-7.57141E-07
0.368347168,-7.62939E-07
0.370788574,-7.52869E-07
0.37322998,-7.53479E-07
0.375671387,-7.4585E-07
0.378112793,-7.50427E-07
0.380554199,-7.38525E-07
0.382995605,-7.42188E-07
0.385437012,-7.32422E-07
0.387878418,-7.33032E-07
0.390319824,-7.26318E-07
0.39276123,-7.1991E-07
0.395202637,-7.15942E-07
0.397644043,-7.11975E-07
0.400085449,-7.08618E-07
0.402526855,-7.01599E-07
0.404968262,-6.98547E-07
0.407409668,-6.85425E-07
0.409851074,-6.86646E-07
0.41229248,-6.73828E-07
0.414733887,-6.71387E-07
0.417175293,-6.58569E-07
0.419616699,-6.58264E-07
0.422058105,-6.43616E-07
0.424499512,-6.38428E-07
0.426940918,-6.30493E-07
0.429382324,-6.20117E-07
0.43182373,-6.12183E-07
0.434265137,-5.9967E-07
0.436706543,-5.94788E-07
0.439147949,-5.81665E-07
0.441589355,-5.75562E-07
0.444030762,-5.60608E-07
0.446472168,-5.5542E-07
0.448913574,-5.39551E-07
0.45135498,-5.32837E-07
0.453796387,-5.14221E-07
0.456237793,-5.07507E-07
0.458679199,-4.90417E-07
0.461120605,-4.84924E-07
0.463562012,-4.69055E-07
0.466003418,-4.57458E-07
0.468444824,-4.41895E-07
0.47088623,-4.245E-07
0.473327637,-4.12292E-07
0.475769043,-3.92456E-07
0.478210449,-3.85742E-07
0.480651855,-3.57056E-07
0.483093262,-3.50037E-07
0.485534668,-3.27454E-07
0.487976074,-3.15857E-07
0.49041748,-3.06396E-07
0.492858887,-2.948E-07
0.495300293,-2.73438E-07
0.497741699,-2.59705E-07
0.500183105,-2.42004E-07
0.502624512,-2.27448E-07
0.505065918,-2.09961E-07
0.507507324,-1.94489E-07
0.50994873,-1.81427E-07
0.512390137,-1.61346E-07
0.514831543,-1.50146E-07
0.517272949,-1.28174E-07
0.519714355,-1.20361E-07
0.522155762,-9.72595E-08
0.524597168,-8.9386E-08
0.527038574,-7.10754E-08
0.52947998,-5.73425E-08
0.531921387,-4.20227E-08
0.534362793,-2.9541E-08
0.536804199,-1.49841E-08
0.539245605,-2.62451E-09
0.541687012,7.35474E-09
0.544128418,2.19116E-08
0.546569824,3.07617E-08
0.54901123,4.58984E-08
0.551452637,5.39551E-08
0.553894043,6.9458E-08
0.556335449,7.63855E-08
0.558776855,9.021E-08
0.561218262,9.57031E-08
0.563659668,1.07269E-07
0.566101074,1.14655E-07
0.56854248,1.25458E-07
0.570983887,1.315E-07
0.573425293,1.38611E-07
0.575866699,1.49139E-07
0.578308105,1.52985E-07
0.580749512,1.64124E-07
0.583190918,1.68091E-07
0.585632324,1.78894E-07
0.58807373,1.7926E-07
0.590515137,1.92535E-07
0.592956543,1.91071E-07
0.595397949,2.02179E-07
0.597839355,2.04681E-07
0.600280762,2.11334E-07
0.602722168,2.1347E-07
0.605163574,2.19543E-07
0.60760498,2.23846E-07
0.610046387,2.26776E-07
0.612487793,2.33215E-07
0.614929199,2.33948E-07
0.617370605,2.4054E-07
0.619812012,2.39349E-07
0.622253418,2.47101E-07
0.624694824,2.44904E-07
0.62713623,2.55066E-07
0.629577637,2.51495E-07
0.632019043,2.59216E-07
0.634460449,2.57843E-07
0.636901855,2.64526E-07
0.639343262,2.63E-07
0.641784668,2.66052E-07
0.644226074,2.69928E-07
0.64666748,2.70599E-07
0.649108887,2.75665E-07
0.651550293,2.73865E-07
0.653991699,2.80975E-07
0.656433105,2.77435E-07
0.658874512,2.85706E-07
0.661315918,2.81769E-07
0.663757324,2.901E-07
0.66619873,2.88788E-07
0.668640137,2.93762E-07
0.671081543,2.93945E-07
0.673522949,2.97089E-07
0.675964355,2.99835E-07
0.678405762,2.99866E-07
0.680847168,3.05969E-07
0.683288574,2.99988E-07
0.68572998,3.06396E-07
0.688171387,3.09143E-07
0.690612793,3.17688E-07
0.693054199,3.08838E-07
0.695495605,3.19214E-07
0.697937012,3.17993E-07
0.700378418,3.22876E-07
0.702819824,3.28369E-07
0.70526123,3.32947E-07
0.707702637,3.34473E-07
0.710144043,3.3905E-07
0.712585449,3.50952E-07
0.715026855,3.49426E-07
0.717468262,3.63159E-07
0.719909668,3.63464E-07
0.722351074,3.7323E-07
0.72479248,3.75977E-07
0.727233887,3.84521E-07
0.729675293,3.93982E-07
0.732116699,4.02832E-07
0.734558105,4.11682E-07
0.736999512,4.22974E-07
0.739440918,4.31213E-07
0.741882324,4.44641E-07
0.74432373,4.55933E-07
