V_2,I_2,V_3,I_3
0.002441406,2.79846E-06,0.002441406,-1.04065E-06
0.004882813,2.91534E-06,0.004882813,-1.03394E-06
0.007324219,3.03192E-06,0.007324219,-1.02661E-06
0.009765625,3.14758E-06,0.009765625,-1.01837E-06
0.012207031,3.26202E-06,0.012207031,-1.01196E-06
0.014648438,3.37646E-06,0.014648438,-1.00433E-06
0.017089844,3.48755E-06,0.017089844,-9.9762E-07
0.01953125,3.59222E-06,0.01953125,-9.90601E-07
0.021972656,3.69965E-06,0.021972656,-9.83887E-07
0.024414063,3.79883E-06,0.024414063,-9.76563E-07
0.026855469,3.89496E-06,0.026855469,-9.69543E-07
0.029296875,3.98376E-06,0.029296875,-9.62524E-07
0.031738281,4.0683E-06,0.031738281,-9.552E-07
0.034179688,4.14948E-06,0.034179688,-9.4696E-07
0.036621094,4.2215E-06,0.036621094,-9.39331E-07
0.0390625,4.28925E-06,0.0390625,-9.32007E-07
0.041503906,4.34845E-06,0.041503906,-9.24377E-07
0.043945313,4.40186E-06,0.043945313,-9.16748E-07
0.046386719,4.44641E-06,0.046386719,-9.08813E-07
0.048828125,4.48334E-06,0.048828125,-9.021E-07
0.051269531,4.51447E-06,0.051269531,-8.95386E-07
0.053710938,4.53857E-06,0.053710938,-8.88062E-07
0.056152344,4.55414E-06,0.056152344,-8.81653E-07
0.05859375,4.56116E-06,0.05859375,-8.74329E-07
0.061035156,4.56543E-06,0.061035156,-8.6731E-07
0.063476563,4.56207E-06,0.063476563,-8.60291E-07
0.065917969,4.552E-06,0.065917969,-8.52966E-07
0.068359375,4.53796E-06,0.068359375,-8.45947E-07
0.070800781,4.51904E-06,0.070800781,-8.38623E-07
0.073242188,4.49646E-06,0.073242188,-8.30994E-07
0.075683594,4.46899E-06,0.075683594,-8.23975E-07
0.078125,4.44031E-06,0.078125,-8.16956E-07
0.080566406,4.40613E-06,0.080566406,-8.09631E-07
0.083007813,4.36981E-06,0.083007813,-8.02917E-07
0.085449219,4.33105E-06,0.085449219,-7.95898E-07
0.087890625,4.28955E-06,0.087890625,-7.901E-07
0.090332031,4.24713E-06,0.090332031,-7.83691E-07
0.092773438,4.20288E-06,0.092773438,-7.77588E-07
0.095214844,4.1568E-06,0.095214844,-7.71484E-07
0.09765625,4.11011E-06,0.09765625,-7.65076E-07
0.100097656,4.06403E-06,0.100097656,-7.58667E-07
0.102539063,4.01642E-06,0.102539063,-7.51953E-07
0.104980469,3.96912E-06,0.104980469,-7.45239E-07
0.107421875,3.92303E-06,0.107421875,-7.38525E-07
0.109863281,3.87695E-06,0.109863281,-7.31812E-07
