PFC_V,PFC_I,RHA_V,RHA_I,FDM_V,FDM_I
0.002441406,-8.24585E-07,-0.002441406,6.42395E-07,0.004882813,-1.78436E-06
0.004882813,-8.05664E-07,-0.004882813,6.11877E-07,0.007324219,-1.73859E-06
0.007324219,-7.87354E-07,-0.007324219,5.8075E-07,0.009765625,-1.69769E-06
0.009765625,-7.69043E-07,-0.009765625,5.49316E-07,0.012207031,-1.65802E-06
0.012207031,-7.50122E-07,-0.012207031,5.16357E-07,0.014648438,-1.62079E-06
0.014648438,-7.31812E-07,-0.014648438,4.81873E-07,0.017089844,-1.58569E-06
0.017089844,-7.13806E-07,-0.017089844,4.46472E-07,0.01953125,-1.55182E-06
0.01953125,-6.96411E-07,-0.01953125,4.09698E-07,0.021972656,-1.51947E-06
0.021972656,-6.78406E-07,-0.021972656,3.72253E-07,0.024414063,-1.48834E-06
0.024414063,-6.61621E-07,-0.024414063,3.33557E-07,0.026855469,-1.45844E-06
0.026855469,-6.44531E-07,-0.026855469,2.93793E-07,0.029296875,-1.42975E-06
0.029296875,-6.27441E-07,-0.029296875,2.50977E-07,0.031738281,-1.40289E-06
0.031738281,-6.11877E-07,-0.031738281,2.07306E-07,0.034179688,-1.37634E-06
0.034179688,-5.95398E-07,-0.034179688,1.61377E-07,0.036621094,-1.35162E-06
0.036621094,-5.78918E-07,-0.036621094,1.13922E-07,0.0390625,-1.32782E-06
0.0390625,-5.63965E-07,-0.0390625,6.43311E-08,0.041503906,-1.30493E-06
0.041503906,-5.49011E-07,-0.041503906,1.32751E-08,0.043945313,-1.28265E-06
0.043945313,-5.32837E-07,-0.043945313,-4.01917E-08,0.046386719,-1.26007E-06
0.046386719,-5.17883E-07,-0.046386719,-9.59778E-08,0.048828125,-1.2384E-06
0.048828125,-5.01709E-07,-0.048828125,-1.54877E-07,0.051269531,-1.21765E-06
0.051269531,-4.86145E-07,-0.051269531,-2.18109E-07,0.053710938,-1.19659E-06
0.053710938,-4.70276E-07,-0.053710938,-2.84851E-07,0.056152344,-1.17676E-06
0.056152344,-4.54712E-07,-0.056152344,-3.54309E-07,0.05859375,-1.15753E-06
0.05859375,-4.40125E-07,-0.05859375,-4.29291E-07,0.061035156,-1.13861E-06
0.061035156,-4.2453E-07,-0.061035156,-5.06287E-07,0.063476563,-1.12E-06
0.063476563,-4.09119E-07,-0.063476563,-5.89905E-07,0.065917969,-1.10229E-06
0.065917969,-3.94958E-07,-0.065917969,-6.75964E-07,0.068359375,-1.0849E-06
0.068359375,-3.79974E-07,-0.068359375,-7.68433E-07,0.070800781,-1.06842E-06
0.070800781,-3.64868E-07,-0.070800781,-8.67004E-07,0.073242188,-1.05225E-06
0.073242188,-3.50464E-07,-0.073242188,-9.70764E-07,0.075683594,-1.03607E-06
0.075683594,-3.35266E-07,-0.075683594,-1.08154E-06,0.078125,-1.0202E-06
0.078125,-3.18878E-07,-0.078125,-1.19812E-06,0.080566406,-1.00403E-06
0.080566406,-3.03406E-07,-0.080566406,-1.32202E-06,0.083007813,-9.88159E-07
0.083007813,-2.85767E-07,-0.083007813,-1.45416E-06,0.085449219,-9.7229E-07
0.085449219,-2.69897E-07,-0.085449219,-1.59424E-06,0.087890625,-9.56421E-07
0.087890625,-2.52411E-07,-0.087890625,-1.74438E-06,0.090332031,-9.40552E-07
0.090332031,-2.34344E-07,-0.090332031,-1.90125E-06,0.092773438,-9.25598E-07
0.092773438,-2.16339E-07,-0.092773438,-2.07001E-06,0.095214844,-9.10645E-07
0.095214844,-1.97296E-07,-0.095214844,-2.24823E-06,0.09765625,-8.95691E-07
0.09765625,-1.77948E-07,-0.09765625,-2.43561E-06,0.100097656,-8.80127E-07
0.100097656,-1.5802E-07,-0.100097656,-2.63092E-06,0.102539063,-8.65173E-07
0.102539063,-1.37939E-07,-0.102539063,-2.84027E-06,0.104980469,-8.5022E-07
0.104980469,-1.16119E-07,-0.104980469,-3.05939E-06,0.107421875,-8.35266E-07
0.107421875,-9.3689E-08,-0.107421875,-3.29071E-06,0.109863281,-8.20007E-07
0.109863281,-6.90308E-08,-0.109863281,-3.52997E-06,0.112304688,-8.03833E-07
0.112304688,-4.39758E-08,-0.112304688,-3.78204E-06,0.114746094,-7.88269E-07
0.114746094,-1.80054E-08,-0.114746094,-4.04572E-06,0.1171875,-7.71484E-07
0.1171875,1.06812E-08,-0.1171875,-4.3219E-06,0.119628906,-7.54089E-07
0.119628906,4.22974E-08,-0.119628906,-4.61029E-06,0.122070313,-7.36694E-07
0.122070313,7.44019E-08,-0.122070313,-4.90417E-06,0.124511719,-7.18384E-07
0.124511719,1.09039E-07,-0.124511719,-5.20935E-06,0.126953125,-6.99158E-07
0.126953125,1.4502E-07,-0.126953125,-5.52368E-06,0.129394531,-6.80542E-07
0.129394531,1.8396E-07,-0.129394531,-5.83801E-06,0.131835938,-6.60095E-07
0.131835938,2.24976E-07,-0.131835938,-6.16455E-06,0.134277344,-6.39038E-07
0.134277344,2.70203E-07,-0.134277344,-6.49719E-06,0.13671875,-6.17676E-07
0.13671875,3.15796E-07,-0.13671875,-6.83289E-06,0.139160156,-5.95398E-07
0.139160156,3.6676E-07,-0.139160156,-7.16553E-06,0.141601563,-5.71289E-07
0.141601563,4.216E-07,-0.141601563,-7.50122E-06,0.144042969,-5.4657E-07
0.144042969,4.78821E-07,-0.144042969,-7.83997E-06,0.146484375,-5.20325E-07
0.146484375,5.40161E-07,-0.146484375,-8.16956E-06,0.148925781,-4.91943E-07
0.148925781,6.06689E-07,-0.148925781,-8.49609E-06,0.151367188,-4.62036E-07
0.151367188,6.78406E-07,-0.151367188,-8.81958E-06,0.153808594,-4.29718E-07
0.153808594,7.54089E-07,-0.153808594,-9.13696E-06,0.15625,-3.9563E-07
0.15625,8.34351E-07,-0.15625,-9.44519E-06,0.158691406,-3.58826E-07
0.158691406,9.21936E-07,-0.158691406,-9.73511E-06,0.161132813,-3.20435E-07
0.161132813,1.0141E-06,-0.161132813,-1.00159E-05,0.163574219,-2.79022E-07
0.163574219,1.11084E-06,-0.163574219,-1.02783E-05,0.166015625,-2.35352E-07
