V_KCl,I_KCl
-0.002441406,-1.72974E-06
-0.004882813,-1.78223E-06
-0.007324219,-1.83594E-06
-0.009765625,-1.89056E-06
-0.012207031,-1.94702E-06
-0.014648438,-2.00531E-06
-0.017089844,-2.06512E-06
-0.01953125,-2.12494E-06
-0.021972656,-2.18719E-06
-0.024414063,-2.24976E-06
-0.026855469,-2.31384E-06
-0.029296875,-2.37885E-06
-0.031738281,-2.44354E-06
-0.034179688,-2.50854E-06
-0.036621094,-2.57446E-06
-0.0390625,-2.63977E-06
-0.041503906,-2.70599E-06
-0.043945313,-2.771E-06
-0.046386719,-2.83539E-06
-0.048828125,-2.90039E-06
-0.051269531,-2.96387E-06
-0.053710938,-3.02673E-06
-0.056152344,-3.0896E-06
-0.05859375,-3.15155E-06
-0.061035156,-3.21075E-06
-0.063476563,-3.27087E-06
-0.065917969,-3.32886E-06
-0.068359375,-3.3844E-06
-0.070800781,-3.43842E-06
-0.073242188,-3.4903E-06
-0.075683594,-3.53973E-06
-0.078125,-3.58643E-06
-0.080566406,-3.63098E-06
-0.083007813,-3.67218E-06
-0.085449219,-3.71307E-06
-0.087890625,-3.75153E-06
-0.090332031,-3.7854E-06
-0.092773438,-3.81958E-06
-0.095214844,-3.84918E-06
-0.09765625,-3.87695E-06
-0.100097656,-3.90228E-06
-0.102539063,-3.92517E-06
-0.104980469,-3.94562E-06
-0.107421875,-3.96271E-06
-0.109863281,-3.97827E-06
-0.112304688,-3.99048E-06
-0.114746094,-4.00146E-06
-0.1171875,-4.01001E-06
-0.119628906,-4.01611E-06
-0.122070313,-4.02161E-06
-0.124511719,-4.02405E-06
-0.126953125,-4.02466E-06
-0.129394531,-4.02344E-06
-0.131835938,-4.02313E-06
-0.134277344,-4.01917E-06
-0.13671875,-4.01703E-06
-0.139160156,-4.01031E-06
-0.141601563,-4.00299E-06
-0.144042969,-3.99506E-06
-0.146484375,-3.9856E-06
-0.148925781,-3.97491E-06
-0.151367188,-3.96393E-06
-0.153808594,-3.95294E-06
-0.15625,-3.94165E-06
-0.158691406,-3.92944E-06
-0.161132813,-3.91632E-06
-0.163574219,-3.90442E-06
-0.166015625,-3.89191E-06
-0.168457031,-3.8797E-06
-0.170898438,-3.86688E-06
-0.173339844,-3.85315E-06
-0.17578125,-3.8385E-06
-0.178222656,-3.82446E-06
-0.180664063,-3.8089E-06
-0.183105469,-3.79395E-06
-0.185546875,-3.77899E-06
-0.187988281,-3.76404E-06
-0.190429688,-3.74939E-06
-0.192871094,-3.73383E-06
-0.1953125,-3.7204E-06
-0.197753906,-3.70605E-06
-0.200195313,-3.69171E-06
-0.202636719,-3.67767E-06
-0.205078125,-3.66425E-06
-0.207519531,-3.6496E-06
-0.209960938,-3.63586E-06
-0.212402344,-3.62152E-06
-0.21484375,-3.60657E-06
-0.217285156,-3.59192E-06
-0.219726563,-3.57727E-06
-0.222167969,-3.56323E-06
-0.224609375,-3.55042E-06
-0.227050781,-3.53546E-06
-0.229492188,-3.52295E-06
-0.231933594,-3.51074E-06
-0.234375,-3.49731E-06
-0.236816406,-3.48511E-06
-0.239257813,-3.47229E-06
-0.241699219,-3.46069E-06
-0.244140625,-3.44757E-06
-0.246582031,-3.43658E-06
-0.249023438,-3.42224E-06
-0.251464844,-3.40942E-06
-0.25390625,-3.3963E-06
-0.256347656,-3.38287E-06
-0.258789063,-3.37067E-06
-0.261230469,-3.35876E-06
-0.263671875,-3.34747E-06
-0.266113281,-3.33527E-06
-0.268554688,-3.3252E-06
-0.270996094,-3.31482E-06
-0.2734375,-3.30292E-06
-0.275878906,-3.29254E-06
-0.278320313,-3.28125E-06
-0.280761719,-3.27057E-06
-0.283203125,-3.2605E-06
-0.285644531,-3.24829E-06
-0.288085938,-3.237E-06
-0.290527344,-3.22601E-06
-0.29296875,-3.21564E-06
-0.295410156,-3.20404E-06
-0.297851563,-3.19397E-06
-0.300292969,-3.18604E-06
-0.302734375,-3.17535E-06
-0.305175781,-3.16589E-06
-0.307617188,-3.15613E-06
-0.310058594,-3.14758E-06
-0.3125,-3.13782E-06
-0.314941406,-3.12988E-06
-0.317382813,-3.12012E-06
-0.319824219,-3.10974E-06
-0.322265625,-3.09998E-06
-0.324707031,-3.0896E-06
-0.327148438,-3.07922E-06
-0.329589844,-3.07068E-06
-0.33203125,-3.06091E-06
-0.334472656,-3.05237E-06
-0.336914063,-3.04291E-06
-0.339355469,-3.03497E-06
-0.341796875,-3.02612E-06
-0.344238281,-3.01849E-06
-0.346679688,-3.01025E-06
-0.349121094,-3.00201E-06
-0.3515625,-2.99347E-06
-0.354003906,-2.9837E-06
-0.356445313,-2.97485E-06
-0.358886719,-2.96509E-06
-0.361328125,-2.95654E-06
-0.363769531,-2.94678E-06
-0.366210938,-2.93915E-06
-0.368652344,-2.92999E-06
-0.37109375,-2.92236E-06
-0.373535156,-2.91473E-06
-0.375976563,-2.90619E-06
-0.378417969,-2.89917E-06
-0.380859375,-2.89246E-06
-0.383300781,-2.88452E-06
-0.385742188,-2.87628E-06
-0.388183594,-2.86865E-06
-0.390625,-2.8598E-06
-0.393066406,-2.85187E-06
-0.395507813,-2.84302E-06
-0.397949219,-2.83539E-06
-0.400390625,-2.82867E-06
-0.402832031,-2.82074E-06
-0.405273438,-2.81403E-06
-0.407714844,-2.80762E-06
-0.41015625,-2.80121E-06
-0.412597656,-2.79388E-06
-0.415039063,-2.78839E-06
-0.417480469,-2.78229E-06
-0.419921875,-2.77557E-06
-0.422363281,-2.76947E-06
-0.424804688,-2.76184E-06
-0.427246094,-2.75543E-06
-0.4296875,-2.74902E-06
-0.432128906,-2.74323E-06
-0.434570313,-2.7359E-06
-0.437011719,-2.73041E-06
-0.439453125,-2.72614E-06
-0.441894531,-2.72186E-06
-0.444335938,-2.71729E-06
-0.446777344,-2.71301E-06
-0.44921875,-2.70935E-06
-0.451660156,-2.70538E-06
-0.454101563,-2.70264E-06
-0.456542969,-2.69897E-06
-0.458984375,-2.69379E-06
-0.461425781,-2.68921E-06
-0.463867188,-2.68555E-06
-0.466308594,-2.68219E-06
-0.46875,-2.67853E-06
-0.471191406,-2.67609E-06
-0.473632813,-2.67334E-06
-0.476074219,-2.67242E-06
-0.478515625,-2.6709E-06
-0.480957031,-2.66876E-06
-0.483398438,-2.66968E-06
-0.485839844,-2.66815E-06
-0.48828125,-2.66968E-06
-0.490722656,-2.66754E-06
-0.493164063,-2.66663E-06
-0.495605469,-2.66724E-06
-0.498046875,-2.66632E-06
-0.500488281,-2.66663E-06
-0.498046875,-2.52533E-06
-0.495605469,-2.42767E-06
-0.493164063,-2.35199E-06
-0.490722656,-2.29065E-06
-0.48828125,-2.23846E-06
-0.485839844,-2.1933E-06
-0.483398438,-2.15363E-06
-0.480957031,-2.11975E-06
-0.478515625,-2.08893E-06
-0.476074219,-2.06085E-06
-0.473632813,-2.03491E-06
-0.471191406,-2.01172E-06
-0.46875,-1.98975E-06
-0.466308594,-1.96899E-06
-0.463867188,-1.94946E-06
-0.461425781,-1.93329E-06
-0.458984375,-1.91711E-06
-0.456542969,-1.90186E-06
-0.454101563,-1.88843E-06
-0.451660156,-0.000001875
-0.44921875,-1.86279E-06
-0.446777344,-1.8515E-06
-0.444335938,-1.8399E-06
-0.441894531,-1.82861E-06
-0.439453125,-1.81793E-06
-0.437011719,-1.80695E-06
-0.434570313,-1.79688E-06
-0.432128906,-1.7868E-06
-0.4296875,-1.77582E-06
-0.427246094,-1.76788E-06
-0.424804688,-1.75842E-06
-0.422363281,-1.74957E-06
-0.419921875,-1.74194E-06
-0.417480469,-1.73401E-06
-0.415039063,-1.72729E-06
-0.412597656,-1.72058E-06
-0.41015625,-1.71234E-06
-0.407714844,-1.70502E-06
-0.405273438,-1.6983E-06
-0.402832031,-1.69189E-06
-0.400390625,-1.68365E-06
-0.397949219,-1.67694E-06
-0.395507813,-1.6684E-06
-0.393066406,-1.66138E-06
-0.390625,-1.65527E-06
-0.388183594,-1.64856E-06
-0.385742188,-1.64215E-06
-0.383300781,-1.63635E-06
-0.380859375,-1.63086E-06
-0.378417969,-1.62506E-06
-0.375976563,-1.61926E-06
-0.373535156,-1.61316E-06
-0.37109375,-1.60797E-06
-0.368652344,-1.60187E-06
-0.366210938,-1.59515E-06
-0.363769531,-1.58905E-06
-0.361328125,-1.58295E-06
-0.358886719,-1.57532E-06
-0.356445313,-1.56952E-06
-0.354003906,-1.56372E-06
-0.3515625,-1.55762E-06
-0.349121094,-1.55243E-06
-0.346679688,-1.54663E-06
-0.344238281,-1.54205E-06
-0.341796875,-1.53656E-06
-0.339355469,-1.53107E-06
-0.336914063,-1.52557E-06
-0.334472656,-1.52008E-06
-0.33203125,-1.51398E-06
-0.329589844,-1.50757E-06
-0.327148438,-1.50116E-06
-0.324707031,-1.49414E-06
-0.322265625,-1.48895E-06
-0.319824219,-1.48193E-06
-0.317382813,-1.47675E-06
-0.314941406,-1.47095E-06
-0.3125,-1.46515E-06
-0.310058594,-1.45996E-06
-0.307617188,-1.45477E-06
-0.305175781,-1.44867E-06
-0.302734375,-1.44379E-06
