V_1,I_1,V_2,I_2,V_3,I_3,V_4,I_4
-0.002441406,-2.16522E-06,-0.002441406,-2.13348E-06,-0.002441406,-2.12189E-06,-0.002441406,-2.37518E-06
-0.004882813,-2.23511E-06,-0.004882813,-2.19849E-06,-0.004882813,-2.17529E-06,-0.004882813,-2.42065E-06
-0.007324219,-2.3053E-06,-0.007324219,-2.26349E-06,-0.007324219,-2.23175E-06,-0.007324219,-2.46643E-06
-0.009765625,-2.37762E-06,-0.009765625,-2.33032E-06,-0.009765625,-2.28912E-06,-0.009765625,-2.51343E-06
-0.012207031,-2.45056E-06,-0.012207031,-2.39655E-06,-0.012207031,-2.34558E-06,-0.012207031,-2.55951E-06
-0.014648438,-2.5238E-06,-0.014648438,-2.46521E-06,-0.014648438,-2.40387E-06,-0.014648438,-2.60742E-06
-0.017089844,-2.59827E-06,-0.017089844,-2.53418E-06,-0.017089844,-2.46246E-06,-0.017089844,-2.65564E-06
-0.01953125,-2.67426E-06,-0.01953125,-2.60376E-06,-0.01953125,-2.52136E-06,-0.01953125,-2.70508E-06
-0.021972656,-2.75024E-06,-0.021972656,-2.67242E-06,-0.021972656,-2.58118E-06,-0.021972656,-2.7536E-06
-0.024414063,-2.82654E-06,-0.024414063,-2.74292E-06,-0.024414063,-2.6413E-06,-0.024414063,-2.80212E-06
-0.026855469,-2.90527E-06,-0.026855469,-2.81433E-06,-0.026855469,-2.70203E-06,-0.026855469,-2.85217E-06
-0.029296875,-2.98248E-06,-0.029296875,-2.88391E-06,-0.029296875,-2.76337E-06,-0.029296875,-2.90253E-06
-0.031738281,-3.06E-06,-0.031738281,-2.95532E-06,-0.031738281,-2.82349E-06,-0.031738281,-2.95166E-06
-0.034179688,-3.13568E-06,-0.034179688,-3.02399E-06,-0.034179688,-2.88483E-06,-0.034179688,-3.00293E-06
-0.036621094,-3.21228E-06,-0.036621094,-3.09265E-06,-0.036621094,-2.94495E-06,-0.036621094,-3.05359E-06
-0.0390625,-3.28918E-06,-0.0390625,-3.16101E-06,-0.0390625,-3.00446E-06,-0.0390625,-3.10486E-06
-0.041503906,-3.36273E-06,-0.041503906,-3.22845E-06,-0.041503906,-3.06335E-06,-0.041503906,-3.15552E-06
-0.043945313,-3.43597E-06,-0.043945313,-3.29193E-06,-0.043945313,-3.12256E-06,-0.043945313,-3.20618E-06
-0.046386719,-3.50647E-06,-0.046386719,-3.35693E-06,-0.046386719,-3.18054E-06,-0.046386719,-3.255E-06
-0.048828125,-3.57544E-06,-0.048828125,-3.41736E-06,-0.048828125,-3.23608E-06,-0.048828125,-3.30353E-06
