t1,V1,I1,t2,V2,I2
0.763775998,0.60043335,3.6499E-06,0.788796998,0.60043335,3.47412E-05
0.773775998,0.600494385,2.61536E-06,0.798796998,0.600524902,2.72644E-05
0.783775998,0.600524902,2.11182E-06,0.808796998,0.600494385,2.32086E-05
0.793775998,0.600524902,1.80054E-06,0.818796998,0.600494385,2.05536E-05
0.803775998,0.600494385,1.58997E-06,0.828796998,0.60055542,1.86401E-05
0.813775998,0.597259521,1.31836E-06,0.838796998,0.597839355,1.6629E-05
0.823775998,0.600494385,1.40259E-06,0.848796998,0.600402832,1.60858E-05
0.833775998,0.600524902,1.30371E-06,0.858796998,0.60043335,1.51306E-05
0.843775998,0.600494385,1.22223E-06,0.868796998,0.600463867,1.43311E-05
0.853775998,0.600463867,1.15692E-06,0.878796998,0.600463867,1.36444E-05
0.863775998,0.60043335,1.08093E-06,0.888796998,0.60043335,1.30493E-05
0.873775998,0.60043335,1.03271E-06,0.898796998,0.60043335,1.25275E-05
0.883775998,0.600463867,9.88159E-07,0.908796998,0.600463867,1.20636E-05
0.893775998,0.60043335,9.47876E-07,0.918796998,0.600402832,1.16516E-05
0.903775998,0.60043335,9.15527E-07,0.928796998,0.60043335,1.12732E-05
0.913775998,0.60043335,8.80432E-07,0.938796998,0.60055542,1.09344E-05
0.923775998,0.600372314,8.54187E-07,0.948796998,0.600402832,1.06262E-05
0.933775998,0.600250244,8.28247E-07,0.958796998,0.60043335,1.03363E-05
0.943775998,0.600311279,8.02307E-07,0.968796998,0.60043335,1.00769E-05
0.953775998,0.600341797,7.83691E-07,0.978796998,0.600494385,9.83276E-06
0.963775998,0.600311279,7.60193E-07,0.988796998,0.60043335,9.60693E-06
0.973775998,0.600372314,7.43713E-07,0.998796997,0.60043335,9.39636E-06
0.983775998,0.600341797,7.25403E-07,1.008796997,0.60043335,9.198E-06
0.993775997,0.60043335,7.08008E-07,1.018796997,0.60043335,9.01794E-06
1.003775997,0.600311279,6.95496E-07,1.028796997,0.600280762,8.82568E-06
1.013775997,0.600341797,6.78711E-07,1.038796997,0.600341797,8.66394E-06
1.023775997,0.600372314,6.67725E-07,1.048796997,0.600372314,8.51135E-06
1.033775997,0.600341797,6.53687E-07,1.058796997,0.600341797,8.36182E-06
1.043775997,0.600372314,6.40564E-07,1.068796997,0.600341797,8.22449E-06
1.053775997,0.600372314,6.32019E-07,1.078796997,0.600372314,8.09021E-06
1.063775997,0.600372314,6.17371E-07,1.088796997,0.600311279,7.96509E-06
1.073775997,0.600341797,6.10046E-07,1.098796997,0.600311279,7.84607E-06
1.083775997,0.600402832,5.9967E-07,1.108796997,0.600311279,7.7301E-06
1.093775997,0.600372314,5.89294E-07,1.118796997,0.600341797,7.62329E-06
1.103775997,0.600311279,5.83496E-07,1.128796997,0.600402832,7.51648E-06
1.113775997,0.600341797,5.71594E-07,1.138796997,0.600311279,7.41882E-06
1.123775997,0.600372314,5.6488E-07,1.148796997,0.600372314,7.32422E-06
1.133775997,0.600372314,5.56946E-07,1.158796997,0.600372314,7.22961E-06
1.143775997,0.600372314,5.47485E-07,1.168796997,0.600372314,7.14417E-06
1.153775997,0.600372314,5.44128E-07,1.178796997,0.600372314,7.05566E-06
1.163775997,0.600311279,5.34668E-07,1.188796997,0.600402832,6.97327E-06
1.173775997,0.600372314,5.29175E-07,1.198796997,0.600372314,6.89392E-06
1.183775997,0.600341797,5.22461E-07,1.208796997,0.600341797,6.81458E-06
1.193775997,0.600372314,5.15442E-07,1.218796997,0.600402832,6.74438E-06
1.203775997,0.600402832,5.1239E-07,1.228796997,0.600311279,6.67114E-06
1.213775997,0.600341797,5.03235E-07,1.238796997,0.600341797,6.60095E-06
1.223775997,0.600341797,4.99573E-07,1.248796997,0.600372314,6.53687E-06
1.233775997,0.600402832,4.94385E-07,1.258796997,0.600341797,6.46973E-06
1.243775997,0.600341797,4.87366E-07,1.268796997,0.600280762,6.40869E-06
1.253775997,0.600402832,4.85229E-07,1.278796997,0.600402832,6.3446E-06
1.263775997,0.600372314,4.7699E-07,1.288796997,0.600372314,6.28662E-06
1.273775997,0.600372314,4.74854E-07,1.298796997,0.600341797,6.23169E-06
1.283775997,0.600372314,4.69666E-07,1.308796997,0.600311279,6.17371E-06
1.293775997,0.600372314,4.63257E-07,1.318796997,0.600372314,6.12183E-06
1.303775997,0.600402832,4.62036E-07,1.328796997,0.600372314,6.06689E-06
1.313775997,0.600311279,4.552E-07,1.338796997,0.600341797,6.01807E-06
1.323775997,0.600372314,4.53125E-07,1.348796997,0.600341797,5.96924E-06
1.333775997,0.600311279,4.48883E-07,1.358796997,0.600341797,5.91736E-06
1.343775997,0.600372314,4.43451E-07,1.368796997,0.600341797,5.87158E-06
1.353775997,0.600341797,4.41956E-07,1.378796997,0.600402832,5.8197E-06
1.363775997,0.600372314,4.35181E-07,1.388796996,0.600372314,5.77698E-06
1.373775997,0.600402832,4.3396E-07,1.398796996,0.600341797,5.73425E-06
1.383775997,0.600402832,4.30298E-07,1.408796996,0.600372314,5.68848E-06
1.393775996,0.600341797,4.24713E-07,1.418796996,0.600341797,5.65186E-06
1.403775996,0.600402832,4.25964E-07,1.428796996,0.600311279,5.60608E-06
1.413775996,0.600372314,4.18762E-07,1.438796996,0.600341797,5.56641E-06
1.423775996,0.60043335,4.17969E-07,1.448796996,0.600341797,5.52979E-06
1.433775996,0.600311279,4.14307E-07,1.458796996,0.600341797,5.49011E-06
1.443775996,0.600402832,4.09363E-07,1.468796996,0.600372314,5.45349E-06
1.453775996,0.60043335,4.09119E-07,1.478796996,0.600372314,5.41687E-06
1.463775996,0.600341797,4.03076E-07,1.488796996,0.600341797,5.38025E-06
1.473775996,0.600311279,4.02069E-07,1.498796996,0.600402832,5.34668E-06
1.483775996,0.600402832,3.9975E-07,1.508796996,0.600341797,5.31006E-06
1.493775996,0.600372314,3.95477E-07,1.518796996,0.600372314,5.27954E-06
1.503775996,0.600402832,3.95111E-07,1.528796996,0.600402832,5.24292E-06
1.513775996,0.600402832,3.89557E-07,1.538796996,0.600372314,5.2124E-06
1.523775996,0.600402832,3.89374E-07,1.548796996,0.600402832,5.18188E-06
1.533775996,0.600402832,3.86505E-07,1.558796996,0.600341797,5.14832E-06
1.543775996,0.60043335,3.82111E-07,1.568796996,0.600341797,5.12085E-06
1.553775996,0.600372314,3.82507E-07,1.578796996,0.600341797,5.08728E-06
1.563775996,0.600402832,3.77167E-07,1.588796996,0.600402832,5.05981E-06
1.573775996,0.600372314,3.77563E-07,1.598796996,0.600311279,5.03235E-06
1.583775996,0.600372314,3.74512E-07,1.608796996,0.600402832,4.99878E-06
1.593775996,0.600402832,3.71155E-07,1.618796996,0.600402832,4.97742E-06
1.603775996,0.600372314,3.71857E-07,1.628796996,0.600341797,4.94385E-06
1.613775996,0.600372314,3.6734E-07,1.638796996,0.60043335,4.91791E-06
1.623775996,0.600372314,3.66821E-07,1.648796996,0.600372314,4.89349E-06
1.633775996,0.600402832,3.64105E-07,1.658796996,0.600372314,4.8642E-06
1.643775996,0.600341797,3.60504E-07,1.668796996,0.600372314,4.84192E-06
1.653775996,0.600372314,3.61176E-07,1.678796996,0.600311279,4.81445E-06
1.663775996,0.600402832,3.56476E-07,1.688796996,0.600402832,4.79065E-06
1.673775996,0.600372314,3.56384E-07,1.698796996,0.600372314,4.76685E-06
1.683775996,0.600372314,3.54004E-07,1.708796996,0.60043335,4.74091E-06
1.693775996,0.600372314,3.50677E-07,1.718796996,0.600372314,4.72076E-06
1.703775996,0.600402832,3.51868E-07,1.728796996,0.600402832,4.69513E-06
1.713775996,0.600341797,3.47382E-07,1.738796996,0.600402832,4.67255E-06
1.723775996,0.600402832,3.47168E-07,1.748796996,0.600372314,4.65179E-06
1.733775996,0.600372314,3.4549E-07,1.758796996,0.600372314,4.62616E-06
