V1,I1,V2,I2,V3,I3
0.002441406,-4.51508E-06,0.002441406,-2.69043E-06,0.002441406,7.22656E-06
0.004882813,-4.45557E-06,0.004882813,-2.57477E-06,0.004882813,7.33032E-06
0.007324219,-4.3927E-06,0.007324219,-2.45911E-06,0.007324219,7.42493E-06
0.009765625,-4.32861E-06,0.009765625,-2.34222E-06,0.009765625,7.50427E-06
0.012207031,-4.26056E-06,0.012207031,-2.22504E-06,0.012207031,7.57141E-06
0.014648438,-4.19037E-06,0.014648438,-2.10663E-06,0.014648438,7.63245E-06
0.017089844,-4.11682E-06,0.017089844,-1.98853E-06,0.017089844,7.67822E-06
0.01953125,-4.04022E-06,0.01953125,-1.87042E-06,0.01953125,7.71179E-06
0.021972656,-3.96027E-06,0.021972656,-1.75079E-06,0.021972656,7.73926E-06
0.024414063,-3.87787E-06,0.024414063,-1.63208E-06,0.024414063,7.75452E-06
0.026855469,-3.79364E-06,0.026855469,-1.51245E-06,0.026855469,7.76062E-06
0.029296875,-3.70758E-06,0.029296875,-1.39465E-06,0.029296875,7.75757E-06
0.031738281,-3.61877E-06,0.031738281,-1.27655E-06,0.031738281,7.74841E-06
0.034179688,-3.52875E-06,0.034179688,-1.15814E-06,0.034179688,7.7301E-06
0.036621094,-3.43628E-06,0.036621094,-1.04004E-06,0.036621094,7.70569E-06
0.0390625,-3.34137E-06,0.0390625,-9.21936E-07,0.0390625,7.67822E-06
0.041503906,-3.24585E-06,0.041503906,-8.04138E-07,0.041503906,7.6416E-06
0.043945313,-3.14941E-06,0.043945313,-6.85425E-07,0.043945313,7.60193E-06
0.046386719,-3.05115E-06,0.046386719,-5.68542E-07,0.046386719,7.55615E-06
0.048828125,-2.95319E-06,0.048828125,-4.50745E-07,0.048828125,7.50732E-06
0.051269531,-2.85339E-06,0.051269531,-3.32581E-07,0.051269531,7.45239E-06
0.053710938,-2.75391E-06,0.053710938,-2.12616E-07,0.053710938,7.39746E-06
0.056152344,-2.65381E-06,0.056152344,-9.23767E-08,0.056152344,7.33948E-06
0.05859375,-2.55432E-06,0.05859375,2.83508E-08,0.05859375,7.27539E-06
0.061035156,-2.45544E-06,0.061035156,1.51062E-07,0.061035156,7.21436E-06
0.063476563,-2.35718E-06,0.063476563,2.74872E-07,0.063476563,7.15027E-06
0.065917969,-2.26044E-06,0.065917969,3.99658E-07,0.065917969,7.08313E-06
0.068359375,-2.16492E-06,0.068359375,5.24292E-07,0.068359375,7.01904E-06
0.070800781,-2.07001E-06,0.070800781,6.52161E-07,0.070800781,6.9519E-06
0.073242188,-1.97784E-06,0.073242188,7.81555E-07,0.073242188,6.88477E-06
0.075683594,-1.8869E-06,0.075683594,9.1217E-07,0.075683594,6.81763E-06
0.078125,-1.79749E-06,0.078125,1.04523E-06,0.078125,6.75049E-06
0.080566406,-1.70898E-06,0.080566406,1.18042E-06,0.080566406,6.68335E-06
0.083007813,-1.62231E-06,0.083007813,1.31805E-06,0.083007813,6.61621E-06
0.085449219,-1.53748E-06,0.085449219,1.45782E-06,0.085449219,6.54907E-06
0.087890625,-1.45508E-06,0.087890625,1.60004E-06,0.087890625,6.48193E-06
0.090332031,-1.37329E-06,0.090332031,1.74591E-06,0.090332031,6.41479E-06
0.092773438,-1.29425E-06,0.092773438,1.89453E-06,0.092773438,6.34766E-06
0.095214844,-1.21674E-06,0.095214844,2.04559E-06,0.095214844,6.28357E-06
0.09765625,-1.14197E-06,0.09765625,2.19879E-06,0.09765625,6.21948E-06
0.100097656,-1.06812E-06,0.100097656,2.35565E-06,0.100097656,6.1554E-06
0.102539063,-9.95789E-07,0.102539063,2.51465E-06,0.102539063,6.09436E-06
0.104980469,-9.25903E-07,0.104980469,2.67639E-06,0.104980469,6.03027E-06
0.107421875,-8.56934E-07,0.107421875,2.84058E-06,0.107421875,5.96924E-06
0.109863281,-7.89185E-07,0.109863281,3.00751E-06,0.109863281,5.9082E-06
0.112304688,-7.22046E-07,0.112304688,3.17749E-06,0.112304688,5.85022E-06
0.114746094,-6.56128E-07,0.114746094,3.34991E-06,0.114746094,5.79224E-06
0.1171875,-5.91125E-07,0.1171875,3.52448E-06,0.1171875,5.73425E-06
0.119628906,-5.25513E-07,0.119628906,3.70178E-06,0.119628906,5.67932E-06
0.122070313,-4.61121E-07,0.122070313,3.88214E-06,0.122070313,5.62134E-06
0.124511719,-3.96606E-07,0.124511719,4.06342E-06,0.124511719,5.56641E-06
0.126953125,-3.32977E-07,0.126953125,4.24591E-06,0.126953125,5.51453E-06
0.129394531,-2.69501E-07,0.129394531,4.43115E-06,0.129394531,5.45959E-06
0.131835938,-2.05109E-07,0.131835938,4.61731E-06,0.131835938,5.40771E-06
0.134277344,-1.41144E-07,0.134277344,4.80499E-06,0.134277344,5.35889E-06
0.13671875,-7.69958E-08,0.13671875,4.99268E-06,0.13671875,5.30701E-06
0.139160156,-1.24207E-08,0.139160156,5.18188E-06,0.139160156,5.25818E-06
0.141601563,5.32837E-08,0.141601563,5.37109E-06,0.141601563,5.20935E-06
0.144042969,1.19293E-07,0.144042969,5.55725E-06,0.144042969,5.16357E-06
0.146484375,1.8689E-07,0.146484375,5.74341E-06,0.146484375,5.1178E-06
0.148925781,2.56134E-07,0.148925781,5.92957E-06,0.148925781,5.07507E-06
0.151367188,3.26721E-07,0.151367188,6.11267E-06,0.151367188,5.0293E-06
0.153808594,3.99536E-07,0.153808594,6.29272E-06,0.153808594,4.98657E-06
0.15625,4.73328E-07,0.15625,6.47278E-06,0.15625,4.94385E-06
0.158691406,5.50232E-07,0.158691406,6.64978E-06,0.158691406,4.90112E-06
0.161132813,6.27747E-07,0.161132813,6.82373E-06,0.161132813,4.85992E-06
0.163574219,7.08313E-07,0.163574219,6.99463E-06,0.163574219,4.81964E-06
0.166015625,7.901E-07,0.166015625,7.15942E-06,0.166015625,4.77966E-06
0.168457031,8.74634E-07,0.168457031,7.32117E-06,0.168457031,4.7406E-06
0.170898438,9.61304E-07,0.170898438,7.47681E-06,0.170898438,4.70276E-06
0.173339844,1.05042E-06,0.173339844,7.62634E-06,0.173339844,4.66583E-06
0.17578125,1.14166E-06,0.17578125,7.76978E-06,0.17578125,4.62891E-06
0.178222656,1.23718E-06,0.178222656,7.9071E-06,0.178222656,4.59412E-06
0.180664063,1.33514E-06,0.180664063,8.03833E-06,0.180664063,4.55994E-06
0.183105469,1.43585E-06,0.183105469,8.1604E-06,0.183105469,4.52698E-06
0.185546875,1.54053E-06,0.185546875,8.27637E-06,0.185546875,4.49432E-06
0.187988281,1.64825E-06,0.187988281,8.38318E-06,0.187988281,4.46106E-06
0.190429688,1.76025E-06,0.190429688,8.48389E-06,0.190429688,4.42993E-06
0.192871094,1.87469E-06,0.192871094,8.57544E-06,0.192871094,4.3985E-06
0.1953125,1.9931E-06,0.1953125,8.66089E-06,0.1953125,4.36737E-06
0.197753906,2.11426E-06,0.197753906,8.73718E-06,0.197753906,4.33838E-06
0.200195313,2.23969E-06,0.200195313,8.80432E-06,0.200195313,4.30786E-06
0.202636719,2.36786E-06,0.202636719,8.8623E-06,0.202636719,4.27856E-06
0.205078125,2.49847E-06,0.205078125,8.91113E-06,0.205078125,4.24957E-06
0.207519531,2.63397E-06,0.207519531,8.95081E-06,0.207519531,4.22272E-06
0.209960938,2.77252E-06,0.209960938,8.98438E-06,0.209960938,4.19495E-06
0.212402344,2.91504E-06,0.212402344,9.00574E-06,0.212402344,4.16931E-06
0.21484375,3.06E-06,0.21484375,9.021E-06,0.21484375,4.14337E-06
0.217285156,3.20984E-06,0.217285156,9.0271E-06,0.217285156,4.11896E-06
0.219726563,3.36273E-06,0.219726563,9.0271E-06,0.219726563,4.09454E-06
0.222167969,3.5202E-06,0.222167969,9.01794E-06,0.222167969,4.07043E-06
0.224609375,3.67798E-06,0.224609375,9.00269E-06,0.224609375,4.04633E-06
0.227050781,3.84125E-06,0.227050781,8.97827E-06,0.227050781,4.02344E-06
0.229492188,4.00635E-06,0.229492188,8.95081E-06,0.229492188,4.00024E-06
0.231933594,4.1745E-06,0.231933594,8.91418E-06,0.231933594,3.97736E-06
0.234375,4.34418E-06,0.234375,8.87146E-06,0.234375,3.95569E-06
0.236816406,4.51691E-06,0.236816406,8.82568E-06,0.236816406,3.93372E-06
0.239257813,4.69208E-06,0.239257813,8.7738E-06,0.239257813,3.91296E-06
0.241699219,4.86877E-06,0.241699219,8.71582E-06,0.241699219,3.89252E-06
0.244140625,5.04761E-06,0.244140625,8.65479E-06,0.244140625,3.87177E-06
0.246582031,5.22766E-06,0.246582031,8.5907E-06,0.246582031,3.85284E-06
0.249023438,5.40771E-06,0.249023438,8.52051E-06,0.249023438,3.83423E-06
0.251464844,5.58777E-06,0.251464844,8.44727E-06,0.251464844,3.81622E-06
0.25390625,5.77087E-06,0.25390625,8.37402E-06,0.25390625,3.79822E-06
0.256347656,5.95093E-06,0.256347656,8.29468E-06,0.256347656,3.78113E-06
0.258789063,6.13403E-06,0.258789063,8.21533E-06,0.258789063,3.76404E-06
0.261230469,6.31104E-06,0.261230469,8.13599E-06,0.261230469,3.74786E-06
0.263671875,6.48804E-06,0.263671875,8.05359E-06,0.263671875,3.73108E-06
0.266113281,6.66809E-06,0.266113281,7.97119E-06,0.266113281,3.71429E-06
0.268554688,6.84204E-06,0.268554688,7.88879E-06,0.268554688,3.69843E-06
0.270996094,7.01294E-06,0.270996094,7.80334E-06,0.270996094,3.68256E-06
0.2734375,7.18079E-06,0.2734375,7.72095E-06,0.2734375,3.66699E-06
0.275878906,7.34558E-06,0.275878906,7.63855E-06,0.275878906,3.65234E-06
0.278320313,7.50732E-06,0.278320313,7.5531E-06,0.278320313,3.63831E-06
0.280761719,7.66296E-06,0.280761719,7.4707E-06,0.280761719,3.62488E-06
0.283203125,7.8125E-06,0.283203125,7.38525E-06,0.283203125,3.61176E-06
0.285644531,7.95898E-06,0.285644531,7.30286E-06,0.285644531,3.59924E-06
0.288085938,8.09937E-06,0.288085938,7.22351E-06,0.288085938,3.58704E-06
0.290527344,8.23059E-06,0.290527344,7.14111E-06,0.290527344,3.57483E-06
0.29296875,8.35876E-06,0.29296875,7.06177E-06,0.29296875,3.56293E-06
0.295410156,8.47778E-06,0.295410156,6.98547E-06,0.295410156,3.55103E-06
0.297851563,8.58765E-06,0.297851563,6.90918E-06,0.297851563,3.54004E-06
0.300292969,8.69141E-06,0.300292969,6.83289E-06,0.300292969,3.52844E-06
0.302734375,8.78601E-06,0.302734375,6.75964E-06,0.302734375,3.51715E-06
0.305175781,8.87146E-06,0.305175781,6.6864E-06,0.305175781,3.50677E-06
0.307617188,8.95081E-06,0.307617188,6.61621E-06,0.307617188,3.49609E-06
0.310058594,9.021E-06,0.310058594,6.54602E-06,0.310058594,3.48572E-06
0.3125,9.08508E-06,0.3125,6.47888E-06,0.3125,3.47687E-06
0.314941406,9.13391E-06,0.314941406,6.41174E-06,0.314941406,3.46893E-06
0.317382813,9.17664E-06,0.317382813,6.34766E-06,0.317382813,3.46008E-06
0.319824219,9.21021E-06,0.319824219,6.28052E-06,0.319824219,3.45184E-06
0.322265625,9.23157E-06,0.322265625,6.21948E-06,0.322265625,3.44391E-06
0.324707031,9.24683E-06,0.324707031,6.15845E-06,0.324707031,3.43567E-06
0.327148438,9.25293E-06,0.327148438,6.09741E-06,0.327148438,3.42865E-06
0.329589844,9.24988E-06,0.329589844,6.03943E-06,0.329589844,3.42133E-06
0.33203125,9.23767E-06,0.33203125,5.98145E-06,0.33203125,3.41461E-06
0.334472656,9.21936E-06,0.334472656,5.92651E-06,0.334472656,3.40698E-06
0.336914063,9.19189E-06,0.336914063,5.87463E-06,0.336914063,3.40118E-06
0.339355469,9.15527E-06,0.339355469,5.8197E-06,0.339355469,3.39447E-06
0.341796875,9.11255E-06,0.341796875,5.76782E-06,0.341796875,3.38745E-06
0.344238281,9.06372E-06,0.344238281,5.71899E-06,0.344238281,3.38135E-06
0.346679688,9.01184E-06,0.346679688,5.67017E-06,0.346679688,3.37555E-06
0.349121094,8.95081E-06,0.349121094,5.62134E-06,0.349121094,3.37036E-06
0.3515625,8.88672E-06,0.3515625,5.57251E-06,0.3515625,3.36517E-06
0.354003906,8.81653E-06,0.354003906,5.52673E-06,0.354003906,3.36212E-06
0.356445313,8.74329E-06,0.356445313,5.48401E-06,0.356445313,3.35785E-06
0.358886719,8.66394E-06,0.358886719,5.43823E-06,0.358886719,3.35388E-06
0.361328125,8.58154E-06,0.361328125,5.39551E-06,0.361328125,3.35083E-06
0.363769531,8.49915E-06,0.363769531,5.35278E-06,0.363769531,3.34686E-06
0.366210938,8.4137E-06,0.366210938,5.31311E-06,0.366210938,3.34412E-06
0.368652344,8.3252E-06,0.368652344,5.27344E-06,0.368652344,3.34045E-06
0.37109375,8.23364E-06,0.37109375,5.23682E-06,0.37109375,3.33771E-06
0.373535156,8.14209E-06,0.373535156,5.2002E-06,0.373535156,3.33496E-06
0.375976563,8.05054E-06,0.375976563,5.16357E-06,0.375976563,3.33191E-06
