t,I
0.500075205,2.70752
0.499451093,2.70111
0.498829313,2.70081
0.498209848,2.6947
0.497592686,2.69135
0.496977812,2.69012
0.496365211,2.6828
0.49575487,2.6828
0.495146775,2.67731
0.494540913,2.67334
0.493937268,2.67151
0.493335829,2.66571
0.492736582,2.6651
0.492139513,2.6593
0.491544609,2.65656
0.490951858,2.65442
0.490361246,2.64801
0.48977276,2.6474
0.489186387,2.6416
0.488602116,2.63947
0.488019934,2.63733
0.487439827,2.63153
0.486861784,2.63123
0.486285793,2.62512
0.485711841,2.62238
0.485139917,2.62024
0.484570008,2.61536
0.484002104,2.61353
0.483436191,2.60895
0.482872258,2.6059
0.482310295,2.60437
0.481750289,2.59857
0.481192229,2.59796
0.480636104,2.59277
0.480081903,2.58972
0.479529614,2.5885
0.478979227,2.5824
0.478430731,2.5827
0.477884115,2.57721
0.477339368,2.57385
0.47679648,2.57294
0.47625544,2.56683
0.475716237,2.56744
0.475178862,2.56104
0.474643304,2.55859
0.474109553,2.55768
0.473577598,2.55127
0.47304743,2.55157
0.472519038,2.54578
0.471992413,2.54364
0.471467545,2.54303
0.470944424,2.53662
0.470423041,2.53693
0.469903385,2.53143
0.469385448,2.52869
0.468869219,2.52777
0.46835469,2.52167
0.467841851,2.52228
0.467330694,2.51709
0.466821208,2.51404
0.466313384,2.51343
0.465807215,2.50763
0.46530269,2.50824
0.464799801,2.50275
0.464298539,2.5
0.463798895,2.49939
0.463300861,2.4939
0.462804427,2.4939
0.462309587,2.4884
0.46181633,2.48657
0.461324648,2.48566
0.460834534,2.47925
0.460345978,2.47986
0.459858973,2.47467
0.45937351,2.47223
0.458889582,2.47192
0.45840718,2.46613
0.457926296,2.46674
0.457446922,2.46124
0.45696905,2.45911
0.456492673,2.45819
0.456017783,2.4527
0.455544371,2.453
0.455072431,2.44843
0.454601955,2.44629
0.454132935,2.44568
0.453665364,2.43988
0.453199234,2.44049
0.452734537,2.4353
0.452271268,2.43286
0.451809417,2.43256
0.451348979,2.42706
