lambda,count
555,1.40E+01
556,1.90E+01
557,8.00E+00
558,1.10E+01
559,9.00E+00
560,1.80E+01
561,1.90E+01
562,1.10E+01
563,1.10E+01
564,1.10E+01
565,1.00E+01
566,2.00E+01
567,1.70E+01
568,9.00E+00
569,4.00E+00
570,8.00E+00
571,9.00E+00
572,3.00E+00
573,3.00E+00
574,5.00E+00
575,5.00E+00
576,4.00E+00
577,7.00E+00
578,0.00E+00
579,1.00E+00
580,1.00E+00
581,3.00E+00
582,4.00E+00
583,0.00E+00
584,0.00E+00
585,0.00E+00
586,1.00E+00
587,1.00E+00
588,0.00E+00
589,0.00E+00
590,0.00E+00
591,0.00E+00
592,0.00E+00
593,1.00E+00
594,0.00E+00
595,0.00E+00
596,2.00E+00
597,0.00E+00
598,0.00E+00
599,0.00E+00
600,0.00E+00
601,0.00E+00
602,0.00E+00
603,0.00E+00
604,0.00E+00
605,0.00E+00
606,0.00E+00
607,0.00E+00
608,0.00E+00
609,1.00E+00
610,0.00E+00
611,0.00E+00
612,0.00E+00
613,3.00E+00
614,1.00E+00
615,0.00E+00
616,0.00E+00
617,1.00E+00
618,0.00E+00
619,1.00E+00
620,0.00E+00
621,0.00E+00
622,1.00E+00
623,0.00E+00
624,0.00E+00
625,0.00E+00
626,0.00E+00
627,0.00E+00
628,0.00E+00
629,0.00E+00
630,0.00E+00
631,0.00E+00
632,0.00E+00
633,0.00E+00
634,0.00E+00
635,0.00E+00
636,0.00E+00
637,0.00E+00
638,0.00E+00
639,0.00E+00
640,0.00E+00
641,1.00E+00
642,0.00E+00
643,0.00E+00
644,0.00E+00
645,0.00E+00
646,0.00E+00
647,0.00E+00
648,0.00E+00
649,0.00E+00
650,0.00E+00
651,1.00E+00
652,0.00E+00
653,1.00E+00
654,0.00E+00
655,0.00E+00
656,0.00E+00
657,0.00E+00
658,0.00E+00
659,0.00E+00
660,0.00E+00
661,0.00E+00
662,0.00E+00
663,0.00E+00
664,0.00E+00
665,0.00E+00
666,0.00E+00
667,0.00E+00
668,0.00E+00
669,0.00E+00
670,0.00E+00
671,0.00E+00
672,0.00E+00
673,0.00E+00
674,0.00E+00
675,0.00E+00
676,0.00E+00
677,0.00E+00
678,1.00E+00
679,0.00E+00
680,0.00E+00
681,0.00E+00
682,0.00E+00
683,0.00E+00
684,0.00E+00
685,0.00E+00
686,0.00E+00
687,0.00E+00
688,0.00E+00
689,0.00E+00
690,2.00E+00
691,0.00E+00
692,0.00E+00
693,0.00E+00
694,0.00E+00
695,0.00E+00
696,0.00E+00
697,0.00E+00
698,0.00E+00
699,0.00E+00
700,0.00E+00
