lambda,count
555,8.60E+01
556,9.70E+01
557,1.02E+02
558,1.20E+02
559,1.05E+02
560,1.09E+02
561,1.02E+02
562,1.10E+02
563,1.01E+02
564,1.43E+02
565,9.40E+01
566,1.03E+02
567,9.10E+01
568,8.90E+01
569,8.40E+01
570,1.00E+02
571,6.90E+01
572,6.90E+01
573,7.60E+01
574,5.40E+01
575,6.30E+01
576,6.30E+01
577,3.90E+01
578,4.30E+01
579,2.90E+01
580,2.20E+01
581,4.90E+01
582,3.20E+01
583,4.40E+01
584,2.40E+01
585,3.50E+01
586,3.60E+01
587,3.10E+01
588,1.90E+01
589,3.40E+01
590,4.10E+01
591,2.30E+01
592,2.60E+01
593,2.20E+01
594,2.10E+01
595,2.70E+01
596,1.70E+01
597,1.70E+01
598,2.30E+01
599,1.80E+01
600,2.30E+01
601,1.40E+01
602,2.20E+01
603,1.90E+01
604,1.40E+01
605,1.90E+01
606,1.90E+01
607,1.60E+01
608,3.40E+01
609,2.00E+01
610,2.00E+01
611,2.20E+01
612,9.00E+00
613,2.30E+01
614,9.00E+00
615,9.00E+00
616,1.40E+01
617,1.00E+01
618,1.60E+01
619,1.00E+01
620,9.00E+00
621,1.90E+01
622,1.50E+01
623,8.00E+00
624,1.60E+01
625,1.50E+01
626,2.20E+01
627,1.50E+01
628,2.00E+01
629,1.40E+01
630,1.70E+01
631,2.50E+01
632,1.10E+01
633,2.10E+01
634,1.40E+01
635,2.00E+01
636,2.80E+01
637,3.60E+01
638,2.20E+01
639,3.10E+01
640,4.40E+01
641,4.80E+01
642,3.90E+01
643,5.00E+01
644,3.60E+01
645,4.10E+01
646,5.50E+01
647,5.70E+01
648,6.50E+01
649,6.00E+01
650,5.00E+01
651,6.50E+01
652,8.60E+01
653,7.30E+01
654,6.90E+01
655,8.40E+01
656,6.80E+01
657,5.50E+01
658,8.30E+01
659,8.80E+01
660,5.80E+01
661,5.50E+01
662,5.20E+01
663,5.70E+01
664,4.10E+01
665,7.90E+01
666,5.50E+01
667,5.10E+01
668,4.90E+01
669,3.50E+01
670,4.10E+01
671,4.70E+01
672,3.50E+01
673,2.20E+01
674,3.40E+01
675,3.00E+01
676,2.20E+01
677,2.20E+01
678,2.20E+01
679,2.10E+01
680,1.80E+01
681,1.60E+01
682,1.70E+01
683,1.60E+01
684,1.30E+01
685,7.00E+00
686,8.00E+00
687,3.00E+00
688,5.00E+00
689,8.00E+00
690,4.00E+00
691,1.00E+00
692,3.00E+00
693,3.00E+00
694,5.00E+00
695,0.00E+00
696,4.00E+00
697,3.00E+00
698,3.00E+00
699,3.00E+00
700,1.00E+00
