lambda,count
555,1.76E+03
556,1.95E+03
557,2.04E+03
558,2.14E+03
559,2.37E+03
560,2.36E+03
561,2.55E+03
562,2.47E+03
563,2.68E+03
564,2.55E+03
565,2.49E+03
566,2.52E+03
567,2.52E+03
568,2.40E+03
569,2.28E+03
570,2.25E+03
571,2.13E+03
572,2.04E+03
573,1.89E+03
574,1.78E+03
575,1.79E+03
576,1.67E+03
577,1.56E+03
578,1.49E+03
579,1.38E+03
580,1.35E+03
581,1.31E+03
582,1.16E+03
583,1.13E+03
584,1.03E+03
585,1.02E+03
586,9.16E+02
587,8.82E+02
588,8.39E+02
589,7.93E+02
590,7.88E+02
591,7.75E+02
592,7.74E+02
593,6.53E+02
594,6.55E+02
595,6.46E+02
596,6.35E+02
597,6.03E+02
598,5.95E+02
599,5.87E+02
600,5.38E+02
601,5.60E+02
602,6.09E+02
603,5.88E+02
604,5.17E+02
605,5.69E+02
606,5.45E+02
607,5.57E+02
608,4.42E+02
609,4.65E+02
610,4.69E+02
611,4.78E+02
612,3.78E+02
613,4.30E+02
614,3.54E+02
615,3.49E+02
616,3.57E+02
617,3.23E+02
618,2.98E+02
619,2.62E+02
620,2.86E+02
621,2.59E+02
622,2.23E+02
623,2.33E+02
624,2.17E+02
625,1.62E+02
626,1.69E+02
627,1.83E+02
628,1.69E+02
629,1.47E+02
630,1.56E+02
631,1.43E+02
632,1.73E+02
633,1.29E+02
634,1.26E+02
635,1.36E+02
636,1.27E+02
637,1.27E+02
638,1.33E+02
639,1.14E+02
640,1.27E+02
641,1.20E+02
642,1.36E+02
643,1.39E+02
644,1.64E+02
645,1.53E+02
646,1.54E+02
647,1.56E+02
648,1.65E+02
649,1.90E+02
650,1.76E+02
651,1.89E+02
652,1.90E+02
653,1.81E+02
654,2.15E+02
655,1.75E+02
656,1.63E+02
657,1.98E+02
658,1.75E+02
659,2.03E+02
660,1.68E+02
661,1.90E+02
662,1.67E+02
663,1.74E+02
664,1.77E+02
665,1.60E+02
666,1.25E+02
667,1.53E+02
668,1.20E+02
669,1.23E+02
670,1.25E+02
671,1.09E+02
672,1.14E+02
673,1.04E+02
674,7.20E+01
675,6.70E+01
676,6.80E+01
677,8.90E+01
678,5.80E+01
679,4.80E+01
680,5.20E+01
681,3.70E+01
682,3.60E+01
683,3.20E+01
684,2.80E+01
685,2.90E+01
686,1.30E+01
687,2.10E+01
688,2.70E+01
689,8.00E+00
690,2.90E+01
691,1.20E+01
692,8.00E+00
693,1.80E+01
694,1.30E+01
695,1.00E+01
696,1.00E+01
697,8.00E+00
698,1.10E+01
699,3.00E+00
700,5.00E+00
