time,count
0,0.00E+00
0.01953,0.00E+00
0.03906,0.00E+00
0.05859,0.00E+00
0.07812,0.00E+00
0.09765,0.00E+00
0.11718,0.00E+00
0.13671,0.00E+00
0.15624,0.00E+00
0.17577,0.00E+00
0.1953,0.00E+00
0.21483,0.00E+00
0.23436,0.00E+00
0.25389,0.00E+00
0.27342,0.00E+00
0.29295,0.00E+00
0.31248,0.00E+00
0.33201,0.00E+00
0.35154,0.00E+00
0.37107,0.00E+00
0.3906,0.00E+00
0.41013,0.00E+00
0.42966,0.00E+00
0.44919,0.00E+00
0.46872,0.00E+00
0.48825,0.00E+00
0.50778,0.00E+00
0.52731,0.00E+00
0.54684,0.00E+00
0.56637,0.00E+00
0.5859,0.00E+00
0.60543,0.00E+00
0.62496,0.00E+00
0.64449,0.00E+00
0.66402,0.00E+00
0.68355,0.00E+00
0.70308,0.00E+00
0.72261,0.00E+00
0.74214,0.00E+00
0.76167,0.00E+00
0.7812,0.00E+00
0.80073,0.00E+00
0.82026,0.00E+00
0.83979,0.00E+00
0.85932,0.00E+00
0.87885,0.00E+00
0.89838,1.00E+00
0.91791,1.53E+02
0.93744,1.75E+02
0.95697,1.72E+02
0.9765,2.47E+02
0.99603,3.37E+02
1.01556,4.70E+02
1.03509,5.25E+02
1.05462,6.32E+02
1.07415,6.92E+02
1.09368,7.55E+02
1.11321,8.47E+02
1.13274,8.51E+02
1.15227,8.81E+02
1.1718,9.59E+02
1.19133,9.79E+02
1.21086,1.00E+03
1.23039,9.71E+02
1.24992,9.51E+02
1.26945,9.42E+02
1.28898,9.61E+02
1.30851,9.52E+02
1.32804,9.42E+02
1.34757,9.09E+02
1.3671,9.34E+02
1.38663,9.14E+02
1.40616,9.70E+02
1.42569,9.00E+02
1.44522,8.19E+02
1.46475,8.05E+02
1.48428,7.65E+02
1.50381,7.61E+02
1.52334,6.99E+02
1.54287,7.45E+02
1.5624,7.16E+02
1.58193,6.50E+02
1.60146,6.89E+02
1.62099,6.57E+02
1.64052,5.93E+02
1.66005,6.16E+02
1.67958,5.50E+02
1.69911,5.14E+02
1.71864,5.58E+02
1.73817,5.20E+02
1.7577,5.08E+02
1.77723,4.80E+02
1.79676,4.43E+02
1.81629,4.38E+02
1.83582,4.07E+02
1.85535,4.53E+02
1.87488,4.53E+02
1.89441,4.28E+02
1.91394,3.90E+02
1.93347,3.91E+02
1.953,3.67E+02
1.97253,3.92E+02
1.99206,3.79E+02
2.01159,3.61E+02
2.03112,3.20E+02
2.05065,3.31E+02
