time,count
0,0.00E+00
0.01953,0.00E+00
0.03906,0.00E+00
0.05859,0.00E+00
0.07812,0.00E+00
0.09765,0.00E+00
0.11718,0.00E+00
0.13671,0.00E+00
0.15624,0.00E+00
0.17577,0.00E+00
0.1953,0.00E+00
0.21483,0.00E+00
0.23436,0.00E+00
0.25389,0.00E+00
0.27342,0.00E+00
0.29295,0.00E+00
0.31248,0.00E+00
0.33201,0.00E+00
0.35154,0.00E+00
0.37107,0.00E+00
0.3906,0.00E+00
0.41013,0.00E+00
0.42966,0.00E+00
0.44919,0.00E+00
0.46872,0.00E+00
0.48825,0.00E+00
0.50778,0.00E+00
0.52731,0.00E+00
0.54684,0.00E+00
0.56637,0.00E+00
0.5859,0.00E+00
0.60543,0.00E+00
0.62496,0.00E+00
0.64449,0.00E+00
0.66402,0.00E+00
0.68355,0.00E+00
0.70308,0.00E+00
0.72261,0.00E+00
0.74214,0.00E+00
0.76167,0.00E+00
0.7812,0.00E+00
0.80073,0.00E+00
0.82026,0.00E+00
0.83979,0.00E+00
0.85932,0.00E+00
0.87885,0.00E+00
0.89838,0.00E+00
0.91791,9.40E+01
0.93744,1.17E+02
0.95697,1.36E+02
0.9765,2.52E+02
0.99603,3.84E+02
1.01556,4.74E+02
1.03509,6.35E+02
1.05462,6.87E+02
1.07415,7.45E+02
1.09368,7.83E+02
1.11321,8.02E+02
1.13274,8.68E+02
1.15227,9.30E+02
1.1718,9.83E+02
1.19133,1.00E+03
1.21086,9.92E+02
1.23039,9.98E+02
1.24992,8.88E+02
1.26945,8.38E+02
1.28898,9.09E+02
1.30851,8.25E+02
1.32804,7.79E+02
1.34757,7.46E+02
1.3671,7.15E+02
1.38663,7.17E+02
1.40616,6.92E+02
1.42569,6.96E+02
1.44522,6.43E+02
1.46475,6.61E+02
1.48428,5.82E+02
1.50381,5.45E+02
1.52334,5.32E+02
1.54287,5.02E+02
1.5624,4.76E+02
1.58193,4.55E+02
1.60146,4.27E+02
1.62099,3.67E+02
1.64052,3.72E+02
1.66005,3.60E+02
1.67958,3.73E+02
1.69911,2.68E+02
1.71864,3.23E+02
1.73817,3.11E+02
1.7577,3.01E+02
1.77723,2.81E+02
1.79676,2.57E+02
1.81629,2.61E+02
1.83582,1.99E+02
1.85535,2.35E+02
1.87488,2.02E+02
1.89441,1.79E+02
1.91394,1.71E+02
1.93347,2.04E+02
1.953,2.14E+02
1.97253,1.76E+02
1.99206,1.68E+02
2.01159,1.70E+02
2.03112,1.52E+02
2.05065,1.63E+02
