time,count
0,0.00E+00
0.01953,0.00E+00
0.03906,0.00E+00
0.05859,0.00E+00
0.07812,0.00E+00
0.09765,0.00E+00
0.11718,0.00E+00
0.13671,0.00E+00
0.15624,0.00E+00
0.17577,0.00E+00
0.1953,0.00E+00
0.21483,0.00E+00
0.23436,0.00E+00
0.25389,0.00E+00
0.27342,0.00E+00
0.29295,0.00E+00
0.31248,0.00E+00
0.33201,0.00E+00
0.35154,0.00E+00
0.37107,0.00E+00
0.3906,0.00E+00
0.41013,0.00E+00
0.42966,0.00E+00
0.44919,0.00E+00
0.46872,0.00E+00
0.48825,0.00E+00
0.50778,0.00E+00
0.52731,0.00E+00
0.54684,0.00E+00
0.56637,0.00E+00
0.5859,0.00E+00
0.60543,0.00E+00
0.62496,0.00E+00
0.64449,0.00E+00
0.66402,0.00E+00
0.68355,0.00E+00
0.70308,0.00E+00
0.72261,0.00E+00
0.74214,0.00E+00
0.76167,0.00E+00
0.7812,0.00E+00
0.80073,0.00E+00
0.82026,0.00E+00
0.83979,0.00E+00
0.85932,0.00E+00
0.87885,0.00E+00
0.89838,0.00E+00
0.91791,9.80E+01
0.93744,1.54E+02
0.95697,1.50E+02
0.9765,2.19E+02
0.99603,3.00E+02
1.01556,4.30E+02
1.03509,5.35E+02
1.05462,5.62E+02
1.07415,6.99E+02
1.09368,7.49E+02
1.11321,8.19E+02
1.13274,8.83E+02
1.15227,8.58E+02
1.1718,9.62E+02
1.19133,9.73E+02
1.21086,1.00E+03
1.23039,9.44E+02
1.24992,9.13E+02
1.26945,9.52E+02
1.28898,8.96E+02
1.30851,8.40E+02
1.32804,8.50E+02
1.34757,8.26E+02
1.3671,8.71E+02
1.38663,8.03E+02
1.40616,7.84E+02
1.42569,7.90E+02
1.44522,7.93E+02
1.46475,7.08E+02
1.48428,6.78E+02
1.50381,6.29E+02
1.52334,6.01E+02
1.54287,6.35E+02
1.5624,5.91E+02
1.58193,5.38E+02
1.60146,5.14E+02
1.62099,5.72E+02
1.64052,4.86E+02
1.66005,5.03E+02
1.67958,4.67E+02
1.69911,4.66E+02
1.71864,3.75E+02
1.73817,3.86E+02
1.7577,4.26E+02
1.77723,4.19E+02
1.79676,3.93E+02
1.81629,3.09E+02
1.83582,3.37E+02
1.85535,3.56E+02
1.87488,3.19E+02
1.89441,3.28E+02
1.91394,3.17E+02
1.93347,3.08E+02
1.953,2.70E+02
1.97253,2.70E+02
1.99206,2.63E+02
2.01159,2.61E+02
2.03112,2.63E+02
2.05065,2.31E+02
