z1,I1,z2,I2,z3,I3,z4,I4,z5,I5
7.30E-08,3.05E-12,9.20E-08,1.53E-11,8.98E-08,1.22E-11,-3.16E-10,1.46E-10,4.32E-08,3.05E-12
7.30E-08,6.10E-12,9.20E-08,1.83E-11,8.98E-08,3.05E-12,-3.10E-10,1.28E-10,4.32E-08,1.53E-11
7.30E-08,1.22E-11,9.20E-08,3.05E-12,8.98E-08,-1.83E-11,-3.04E-10,1.37E-10,4.32E-08,3.05E-12
7.30E-08,1.53E-11,9.20E-08,1.83E-11,8.98E-08,9.16E-12,-2.98E-10,9.77E-11,4.33E-08,1.22E-11
7.30E-08,9.31E-17,9.20E-08,6.10E-12,8.99E-08,1.53E-11,-2.92E-10,1.34E-10,4.33E-08,9.31E-17
7.31E-08,9.16E-12,9.20E-08,1.53E-11,8.99E-08,1.22E-11,-2.87E-10,1.37E-10,4.33E-08,9.16E-12
7.31E-08,9.31E-17,9.20E-08,-3.05E-12,8.99E-08,1.53E-11,-2.81E-10,1.34E-10,4.33E-08,1.53E-11
7.31E-08,1.83E-11,9.20E-08,1.22E-11,8.99E-08,9.31E-17,-2.75E-10,1.34E-10,4.33E-08,1.22E-11
7.31E-08,6.10E-12,9.20E-08,1.53E-11,8.99E-08,9.31E-17,-2.69E-10,1.28E-10,4.33E-08,6.10E-12
7.31E-08,6.10E-12,9.20E-08,1.53E-11,8.99E-08,6.10E-12,-2.63E-10,1.37E-10,4.33E-08,6.10E-12
7.31E-08,1.22E-11,9.20E-08,3.05E-12,8.99E-08,1.53E-11,-2.57E-10,1.25E-10,4.33E-08,1.22E-11
7.31E-08,1.53E-11,9.20E-08,1.22E-11,8.99E-08,9.31E-17,-2.51E-10,1.53E-10,4.33E-08,1.53E-11
7.31E-08,9.31E-17,9.20E-08,1.83E-11,8.99E-08,1.22E-11,-2.45E-10,1.31E-10,4.33E-08,1.22E-11
7.31E-08,1.22E-11,9.21E-08,2.14E-11,8.99E-08,6.10E-12,-2.39E-10,1.50E-10,4.33E-08,-3.05E-12
7.31E-08,9.16E-12,9.21E-08,9.16E-12,8.99E-08,1.22E-11,-2.34E-10,1.34E-10,4.33E-08,1.53E-11
7.31E-08,1.22E-11,9.21E-08,2.14E-11,8.99E-08,6.10E-12,-2.28E-10,1.28E-10,4.33E-08,9.16E-12
7.31E-08,1.53E-11,9.21E-08,1.22E-11,8.99E-08,9.16E-12,-2.22E-10,1.22E-10,4.33E-08,1.22E-11
