V1,I1,V2,I2,I3,I4,I5
-2.00E-01,-7.32E-11,-2.00E+00,-5.24E-09,-8.58E-09,-4.60E-09,-4.27E-11
-1.98E-01,-9.77E-11,-1.98E+00,-5.08E-09,-4.77E-09,-3.93E-09,8.54E-11
-1.97E-01,-8.24E-11,-1.97E+00,-4.44E-09,-4.14E-09,-3.95E-09,9.16E-11
-1.95E-01,-7.63E-11,-1.95E+00,-4.79E-09,-4.90E-09,-3.42E-09,7.32E-11
-1.94E-01,-7.02E-11,-1.94E+00,-2.88E-09,-4.35E-09,-3.21E-09,1.04E-10
-1.92E-01,-4.88E-11,-1.92E+00,-3.38E-09,-4.47E-09,-3.44E-09,2.35E-10
-1.91E-01,-4.27E-11,-1.91E+00,-3.36E-09,-5.93E-09,-3.19E-09,1.98E-10
-1.89E-01,-6.10E-11,-1.89E+00,-3.22E-09,-5.91E-09,-3.05E-09,1.83E-10
-1.87E-01,-6.10E-11,-1.87E+00,-2.28E-09,-4.97E-09,-2.99E-09,1.28E-10
-1.86E-01,-5.19E-11,-1.86E+00,-2.13E-09,-5.64E-09,-2.72E-09,1.13E-10
-1.84E-01,-4.27E-11,-1.84E+00,-1.87E-09,-4.57E-09,-2.69E-09,9.77E-11
-1.83E-01,-4.27E-11,-1.83E+00,-2.04E-09,-4.31E-09,-2.49E-09,1.04E-10
-1.81E-01,-4.27E-11,-1.81E+00,-1.81E-09,-4.33E-09,-2.45E-09,1.04E-10
-1.80E-01,-1.83E-11,-1.80E+00,-1.89E-09,-3.75E-09,-2.24E-09,8.85E-11
-1.78E-01,-2.75E-11,-1.78E+00,-2.17E-09,-3.65E-09,-2.44E-09,4.00E-10
-1.76E-01,-2.44E-11,-1.76E+00,-2.16E-09,-3.81E-09,-2.17E-09,2.14E-10
-1.75E-01,-3.36E-11,-1.75E+00,-2.30E-09,-3.49E-09,-2.15E-09,1.89E-10
-1.73E-01,-3.05E-11,-1.73E+00,-2.17E-09,-3.46E-09,-2.16E-09,1.59E-10
-1.72E-01,-3.05E-11,-1.72E+00,-2.22E-09,-3.06E-09,-2.16E-09,1.28E-10
-1.70E-01,-4.27E-11,-1.70E+00,-2.15E-09,-3.60E-09,-2.22E-09,1.07E-10
-1.69E-01,-2.14E-11,-1.69E+00,-2.10E-09,-3.64E-09,-2.47E-09,1.01E-10
-1.67E-01,-3.66E-11,-1.67E+00,-2.14E-09,-3.64E-09,-2.92E-09,1.07E-10
-1.65E-01,-2.44E-11,-1.65E+00,-2.45E-09,-3.70E-09,-2.70E-09,1.13E-10
-1.64E-01,-2.44E-11,-1.64E+00,-2.49E-09,-3.75E-09,-2.71E-09,4.06E-10
-1.62E-01,-1.22E-11,-1.62E+00,-2.44E-09,-3.52E-09,-2.54E-09,2.17E-10
-1.61E-01,-3.36E-11,-1.61E+00,-1.91E-09,-2.71E-09,-2.40E-09,1.95E-10
-1.59E-01,-3.36E-11,-1.59E+00,-1.67E-09,-2.60E-09,-2.51E-09,1.62E-10
-1.58E-01,-2.75E-11,-1.58E+00,-1.72E-09,-2.56E-09,-2.42E-09,1.34E-10
-1.56E-01,-4.88E-11,-1.56E+00,-1.65E-09,-3.10E-09,-2.03E-09,9.77E-11
-1.55E-01,-4.27E-11,-1.55E+00,-1.79E-09,-3.17E-09,-1.93E-09,1.10E-10
-1.53E-01,-5.19E-11,-1.53E+00,-1.52E-09,-3.12E-09,-1.88E-09,1.22E-10
-1.51E-01,-2.44E-11,-1.51E+00,-1.89E-09,-2.78E-09,-1.64E-09,1.22E-10
-1.50E-01,-2.14E-11,-1.50E+00,-2.03E-09,-2.66E-09,-1.55E-09,4.52E-10
-1.48E-01,-3.97E-11,-1.48E+00,-2.04E-09,-2.62E-09,-1.39E-09,2.17E-10
-1.47E-01,-3.36E-11,-1.47E+00,-1.68E-09,-2.66E-09,-1.48E-09,2.04E-10
-1.45E-01,-4.27E-11,-1.45E+00,-1.85E-09,-2.44E-09,-1.48E-09,1.77E-10
-1.44E-01,-3.66E-11,-1.44E+00,-1.44E-09,-2.69E-09,-1.44E-09,1.34E-10
-1.42E-01,-3.36E-11,-1.42E+00,-1.64E-09,-2.56E-09,-1.31E-09,1.22E-10
-1.40E-01,-3.36E-11,-1.40E+00,-1.47E-09,-2.45E-09,-1.37E-09,1.07E-10
-1.39E-01,-3.05E-11,-1.39E+00,-1.82E-09,-2.48E-09,-1.35E-09,1.28E-10
-1.37E-01,-6.10E-12,-1.37E+00,-1.80E-09,-2.30E-09,-9.00E-10,1.16E-10
-1.36E-01,-6.10E-12,-1.36E+00,-1.76E-09,-2.04E-09,-9.43E-10,1.22E-10
-1.34E-01,-2.44E-11,-1.34E+00,-1.75E-09,-1.84E-09,-9.61E-10,2.44E-10
-1.33E-01,-3.05E-11,-1.33E+00,-1.76E-09,-1.58E-09,-9.31E-10,2.08E-10
-1.31E-01,-3.66E-11,-1.31E+00,-1.78E-09,-1.62E-09,-8.30E-10,2.01E-10
-1.29E-01,-2.75E-11,-1.29E+00,-1.30E-09,-1.53E-09,-8.73E-10,1.59E-10
-1.28E-01,-1.83E-11,-1.28E+00,-1.39E-09,-1.50E-09,-8.91E-10,1.28E-10
-1.26E-01,-3.36E-11,-1.26E+00,-1.04E-09,-1.65E-09,-8.36E-10,1.28E-10
-1.25E-01,-1.83E-11,-1.25E+00,-1.47E-09,-1.49E-09,-9.06E-10,1.04E-10
-1.23E-01,-9.16E-12,-1.23E+00,-1.44E-09,-1.42E-09,-6.50E-10,1.28E-10
-1.22E-01,-2.44E-11,-1.22E+00,-1.13E-09,-1.42E-09,-8.61E-10,1.13E-10
-1.20E-01,-2.14E-11,-1.20E+00,-1.03E-09,-1.32E-09,-7.11E-10,2.47E-10
-1.18E-01,-2.44E-11,-1.18E+00,-1.03E-09,-1.23E-09,-6.93E-10,2.32E-10
