t1,x1,y1,t2,x2,y2,t3,x3,y3
0.00E+00,4.73E-01,2.58E-01,0.00E+00,4.77E-01,2.90E-01,0.00E+00,4.07E-01,2.82E-01
8.34E-03,4.82E-01,2.57E-01,8.34E-03,4.89E-01,2.90E-01,8.34E-03,4.17E-01,2.81E-01
1.67E-02,4.92E-01,2.57E-01,1.67E-02,5.00E-01,2.90E-01,1.67E-02,4.26E-01,2.80E-01
2.50E-02,5.02E-01,2.57E-01,2.50E-02,5.11E-01,2.90E-01,2.50E-02,4.36E-01,2.79E-01
3.34E-02,5.11E-01,2.57E-01,3.34E-02,5.23E-01,2.90E-01,3.34E-02,4.46E-01,2.78E-01
4.17E-02,5.21E-01,2.56E-01,4.17E-02,5.34E-01,2.91E-01,4.17E-02,4.56E-01,2.78E-01
5.01E-02,5.31E-01,2.56E-01,5.01E-02,5.43E-01,2.92E-01,5.01E-02,4.66E-01,2.77E-01
5.84E-02,5.40E-01,2.56E-01,5.84E-02,5.43E-01,2.90E-01,5.84E-02,4.75E-01,2.76E-01
6.67E-02,5.44E-01,2.56E-01,6.67E-02,5.37E-01,2.90E-01,6.67E-02,4.85E-01,2.76E-01
7.51E-02,5.39E-01,2.55E-01,7.51E-02,5.26E-01,2.88E-01,7.51E-02,4.95E-01,2.75E-01
8.34E-02,5.30E-01,2.57E-01,8.34E-02,5.15E-01,2.87E-01,8.34E-02,5.04E-01,2.74E-01
9.18E-02,5.20E-01,2.56E-01,9.18E-02,5.04E-01,2.87E-01,9.18E-02,5.14E-01,2.73E-01
1.00E-01,5.11E-01,2.56E-01,1.00E-01,4.93E-01,2.87E-01,1.00E-01,5.24E-01,2.71E-01
1.08E-01,5.02E-01,2.56E-01,1.08E-01,4.82E-01,2.86E-01,1.08E-01,5.34E-01,2.70E-01
1.17E-01,4.92E-01,2.56E-01,1.17E-01,4.71E-01,2.86E-01,1.17E-01,5.43E-01,2.69E-01
1.25E-01,4.83E-01,2.56E-01,1.25E-01,4.60E-01,2.85E-01,1.25E-01,5.46E-01,2.69E-01
1.33E-01,4.73E-01,2.56E-01,1.33E-01,4.49E-01,2.85E-01,1.33E-01,5.39E-01,2.68E-01
1.42E-01,4.64E-01,2.56E-01,1.42E-01,4.38E-01,2.85E-01,1.42E-01,5.29E-01,2.66E-01
1.50E-01,4.54E-01,2.55E-01,1.50E-01,4.27E-01,2.84E-01,1.50E-01,5.19E-01,2.66E-01
1.58E-01,4.45E-01,2.55E-01,1.58E-01,4.16E-01,2.83E-01,1.58E-01,5.10E-01,2.64E-01
1.67E-01,4.35E-01,2.55E-01,1.67E-01,4.05E-01,2.83E-01,1.67E-01,5.00E-01,2.63E-01
1.75E-01,4.26E-01,2.55E-01,1.75E-01,3.94E-01,2.83E-01,1.75E-01,4.91E-01,2.62E-01
1.84E-01,4.17E-01,2.55E-01,1.84E-01,3.82E-01,2.82E-01,1.84E-01,4.82E-01,2.61E-01
1.92E-01,4.07E-01,2.55E-01,1.92E-01,3.72E-01,2.82E-01,1.92E-01,4.72E-01,2.60E-01
2.00E-01,3.98E-01,2.55E-01,2.00E-01,3.60E-01,2.81E-01,2.00E-01,4.63E-01,2.59E-01
2.09E-01,3.88E-01,2.56E-01,2.09E-01,3.49E-01,2.80E-01,2.09E-01,4.53E-01,2.59E-01
2.17E-01,3.79E-01,2.56E-01,2.17E-01,3.38E-01,2.80E-01,2.17E-01,4.44E-01,2.58E-01
2.25E-01,3.69E-01,2.55E-01,2.25E-01,3.27E-01,2.79E-01,2.25E-01,4.34E-01,2.57E-01
2.34E-01,3.60E-01,2.55E-01,2.34E-01,3.16E-01,2.79E-01,2.34E-01,4.25E-01,2.55E-01
2.42E-01,3.50E-01,2.54E-01,2.42E-01,3.05E-01,2.78E-01,2.42E-01,4.15E-01,2.54E-01
2.50E-01,3.41E-01,2.55E-01,2.50E-01,2.95E-01,2.78E-01,2.50E-01,4.06E-01,2.53E-01
2.59E-01,3.32E-01,2.54E-01,2.59E-01,2.84E-01,2.78E-01,2.59E-01,3.97E-01,2.53E-01
2.67E-01,3.22E-01,2.54E-01,2.67E-01,2.73E-01,2.77E-01,2.67E-01,3.88E-01,2.52E-01
2.75E-01,3.13E-01,2.54E-01,2.75E-01,2.62E-01,2.76E-01,2.75E-01,3.78E-01,2.51E-01
2.84E-01,3.04E-01,2.54E-01,2.84E-01,2.51E-01,2.76E-01,2.84E-01,3.69E-01,2.50E-01
2.92E-01,2.95E-01,2.54E-01,2.92E-01,2.40E-01,2.74E-01,2.92E-01,3.59E-01,2.49E-01
3.00E-01,2.85E-01,2.54E-01,3.00E-01,2.29E-01,2.73E-01,3.00E-01,3.50E-01,2.48E-01
3.09E-01,2.76E-01,2.54E-01,3.09E-01,2.18E-01,2.73E-01,3.09E-01,3.40E-01,2.47E-01
3.17E-01,2.67E-01,2.54E-01,3.17E-01,2.07E-01,2.72E-01,3.17E-01,3.31E-01,2.46E-01
3.25E-01,2.58E-01,2.54E-01,3.25E-01,1.97E-01,2.72E-01,3.25E-01,3.21E-01,2.45E-01
3.34E-01,2.48E-01,2.54E-01,3.34E-01,1.86E-01,2.71E-01,3.34E-01,3.12E-01,2.45E-01
3.42E-01,2.39E-01,2.53E-01,3.42E-01,1.74E-01,2.71E-01,3.42E-01,3.03E-01,2.43E-01
3.50E-01,2.30E-01,2.53E-01,3.50E-01,1.64E-01,2.70E-01,3.50E-01,2.94E-01,2.42E-01
3.59E-01,2.21E-01,2.53E-01,3.59E-01,1.53E-01,2.70E-01,3.59E-01,2.84E-01,2.41E-01
3.67E-01,2.12E-01,2.53E-01,3.67E-01,1.42E-01,2.69E-01,3.67E-01,2.75E-01,2.40E-01
3.75E-01,2.02E-01,2.53E-01,3.75E-01,1.31E-01,2.69E-01,3.75E-01,2.66E-01,2.39E-01
3.84E-01,1.93E-01,2.53E-01,3.84E-01,1.20E-01,2.68E-01,3.84E-01,2.56E-01,2.38E-01
3.92E-01,1.84E-01,2.53E-01,3.92E-01,1.10E-01,2.67E-01,3.92E-01,2.47E-01,2.38E-01
4.00E-01,1.74E-01,2.53E-01,4.00E-01,9.90E-02,2.67E-01,4.00E-01,2.38E-01,2.36E-01
4.09E-01,1.65E-01,2.52E-01,4.09E-01,8.83E-02,2.66E-01,4.09E-01,2.28E-01,2.35E-01
4.17E-01,1.56E-01,2.52E-01,4.17E-01,7.76E-02,2.65E-01,4.17E-01,2.19E-01,2.35E-01
4.25E-01,1.47E-01,2.52E-01,4.25E-01,6.69E-02,2.65E-01,4.25E-01,2.10E-01,2.33E-01
4.34E-01,1.37E-01,2.53E-01,4.34E-01,5.63E-02,2.64E-01,4.34E-01,2.00E-01,2.32E-01
4.42E-01,1.28E-01,2.53E-01,4.42E-01,4.55E-02,2.64E-01,4.42E-01,1.91E-01,2.31E-01
4.50E-01,1.19E-01,2.53E-01,4.50E-01,3.51E-02,2.63E-01,4.50E-01,1.82E-01,2.30E-01
4.59E-01,1.09E-01,2.52E-01,4.59E-01,2.57E-02,2.63E-01,4.59E-01,1.72E-01,2.29E-01
4.67E-01,1.00E-01,2.52E-01,4.67E-01,2.22E-02,2.63E-01,4.67E-01,1.63E-01,2.28E-01
4.75E-01,9.11E-02,2.52E-01,4.75E-01,3.10E-02,2.62E-01,4.75E-01,1.54E-01,2.27E-01
4.84E-01,8.19E-02,2.52E-01,4.84E-01,4.13E-02,2.62E-01,4.84E-01,1.44E-01,2.27E-01
4.92E-01,7.27E-02,2.52E-01,4.92E-01,5.19E-02,2.62E-01,4.92E-01,1.35E-01,2.26E-01
5.01E-01,6.35E-02,2.52E-01,5.01E-01,6.25E-02,2.62E-01,5.01E-01,1.26E-01,2.24E-01
