t1,x1,t2,x2,t3,x3
0.00E+00,-2.27E-03,0.00E+00,-2.27E-03,0.00E+00,-4.44E-16
1.67E-02,-2.22E-03,1.67E-02,-2.33E-03,1.67E-02,-7.29E-04
3.34E-02,-3.67E-03,3.34E-02,-2.51E-03,3.34E-02,-2.04E-03
5.01E-02,-3.25E-03,5.01E-02,-3.32E-03,5.01E-02,-8.05E-03
6.67E-02,-2.44E-02,6.67E-02,-3.38E-03,6.67E-02,-1.79E-02
8.34E-02,-3.45E-02,8.34E-02,-5.24E-03,8.34E-02,-2.67E-02
1.00E-01,-4.46E-02,1.00E-01,-9.51E-03,1.00E-01,-4.03E-02
1.17E-01,-6.46E-02,1.17E-01,-1.62E-02,1.17E-01,-5.70E-02
1.33E-01,-8.40E-02,1.33E-01,-2.78E-02,1.33E-01,-7.68E-02
1.50E-01,-1.06E-01,1.50E-01,-4.20E-02,1.50E-01,-1.01E-01
1.67E-01,-1.31E-01,1.67E-01,-5.95E-02,1.67E-01,-1.25E-01
1.84E-01,-1.60E-01,1.84E-01,-8.52E-02,1.84E-01,-1.54E-01
2.00E-01,-1.91E-01,2.00E-01,-1.09E-01,2.00E-01,-1.86E-01
2.17E-01,-2.25E-01,2.17E-01,-1.37E-01,2.17E-01,-2.21E-01
2.34E-01,-2.63E-01,2.34E-01,-1.69E-01,2.34E-01,-2.59E-01
2.50E-01,-3.03E-01,2.50E-01,-2.02E-01,2.50E-01,-3.00E-01
2.67E-01,-3.46E-01,2.67E-01,-2.38E-01,2.67E-01,-3.43E-01
2.84E-01,-3.92E-01,2.84E-01,-2.76E-01,2.84E-01,-3.90E-01
3.00E-01,-4.41E-01,3.00E-01,-3.18E-01,3.00E-01,-4.40E-01
3.17E-01,-4.93E-01,3.17E-01,-3.62E-01,3.17E-01,-4.93E-01
3.34E-01,-5.49E-01,3.34E-01,-4.09E-01,3.34E-01,-5.49E-01
3.50E-01,-6.08E-01,3.50E-01,-4.60E-01,3.50E-01,-6.08E-01
3.67E-01,-6.69E-01,3.67E-01,-5.15E-01,3.67E-01,-6.70E-01
3.84E-01,-7.33E-01,3.84E-01,-5.72E-01,3.84E-01,-7.34E-01
4.00E-01,-8.00E-01,4.00E-01,-6.33E-01,4.00E-01,-8.04E-01
4.17E-01,-8.71E-01,4.17E-01,-6.95E-01,4.17E-01,-8.74E-01
4.34E-01,-9.44E-01,4.34E-01,-7.62E-01,4.34E-01,-9.49E-01
4.50E-01,-1.02E+00,4.50E-01,-8.33E-01,4.50E-01,-1.03E+00
4.67E-01,-1.10E+00,4.67E-01,-9.06E-01,4.67E-01,-1.11E+00
4.84E-01,-1.18E+00,4.84E-01,-9.82E-01,,
,,5.01E-01,-1.06E+00,,
,,5.17E-01,-1.14E+00,,
