t1,x1,y1,t2,x2,y2
6.76E-01,6.32E-01,-3.36E-01,7.01E-01,6.53E-01,-3.54E-01
6.84E-01,6.37E-01,-3.43E-01,7.09E-01,6.67E-01,-3.63E-01
6.92E-01,6.50E-01,-3.52E-01,7.17E-01,6.83E-01,-3.70E-01
7.01E-01,6.66E-01,-3.60E-01,7.26E-01,7.00E-01,-3.77E-01
7.09E-01,6.82E-01,-3.66E-01,7.34E-01,7.16E-01,-3.81E-01
7.17E-01,6.98E-01,-3.72E-01,7.42E-01,7.35E-01,-3.86E-01
7.26E-01,7.14E-01,-3.77E-01,7.51E-01,7.52E-01,-3.88E-01
7.34E-01,7.33E-01,-3.81E-01,7.59E-01,7.70E-01,-3.86E-01
7.42E-01,7.51E-01,-3.82E-01,7.67E-01,7.85E-01,-3.82E-01
7.51E-01,7.68E-01,-3.79E-01,7.76E-01,8.03E-01,-3.77E-01
7.59E-01,7.86E-01,-3.74E-01,7.84E-01,8.19E-01,-3.70E-01
7.67E-01,8.02E-01,-3.68E-01,7.92E-01,8.33E-01,-3.60E-01
7.76E-01,8.16E-01,-3.59E-01,8.01E-01,8.45E-01,-3.49E-01
7.84E-01,8.30E-01,-3.49E-01,8.09E-01,8.58E-01,-3.37E-01
7.92E-01,8.42E-01,-3.37E-01,8.17E-01,8.68E-01,-3.24E-01
8.01E-01,8.52E-01,-3.25E-01,8.26E-01,8.76E-01,-3.10E-01
8.09E-01,8.62E-01,-3.11E-01,8.34E-01,8.84E-01,-2.95E-01
8.17E-01,8.68E-01,-2.97E-01,8.43E-01,8.88E-01,-2.80E-01
8.26E-01,8.72E-01,-2.82E-01,8.51E-01,8.91E-01,-2.66E-01
8.34E-01,8.75E-01,-2.68E-01,8.59E-01,8.93E-01,-2.52E-01
8.43E-01,8.77E-01,-2.54E-01,8.68E-01,8.93E-01,-2.37E-01
8.51E-01,8.78E-01,-2.41E-01,8.76E-01,8.80E-01,-2.23E-01
8.59E-01,8.75E-01,-2.27E-01,8.84E-01,8.76E-01,-2.10E-01
8.68E-01,8.71E-01,-2.15E-01,8.93E-01,8.71E-01,-2.00E-01
8.76E-01,8.66E-01,-2.03E-01,9.01E-01,8.65E-01,-1.90E-01
8.84E-01,8.61E-01,-1.92E-01,9.09E-01,8.59E-01,-1.80E-01
8.93E-01,8.55E-01,-1.83E-01,9.18E-01,8.53E-01,-1.72E-01
9.01E-01,8.48E-01,-1.74E-01,9.26E-01,8.46E-01,-1.65E-01
9.09E-01,8.40E-01,-1.66E-01,9.34E-01,8.39E-01,-1.59E-01
9.18E-01,8.32E-01,-1.59E-01,9.43E-01,8.31E-01,-1.54E-01
9.26E-01,8.25E-01,-1.53E-01,9.51E-01,8.25E-01,-1.49E-01
9.34E-01,8.16E-01,-1.48E-01,9.59E-01,8.16E-01,-1.45E-01
