t1,x1,y1,t2,x2,y2,t3,x3,y3,t4,x4,y4
7.01E-01,6.39E-01,-3.37E-01,7.42E-01,6.27E-01,-3.29E-01,6.51E-01,6.15E-01,-3.21E-01,6.42E-01,6.11E-01,-3.18E-01
7.09E-01,6.55E-01,-3.46E-01,7.51E-01,6.36E-01,-3.37E-01,6.59E-01,6.18E-01,-3.23E-01,6.51E-01,6.15E-01,-3.23E-01
7.17E-01,6.71E-01,-3.52E-01,7.59E-01,6.51E-01,-3.45E-01,6.67E-01,6.35E-01,-3.33E-01,6.59E-01,6.22E-01,-3.22E-01
7.26E-01,6.87E-01,-3.57E-01,7.67E-01,6.66E-01,-3.52E-01,6.76E-01,6.50E-01,-3.40E-01,6.67E-01,6.42E-01,-3.37E-01
7.34E-01,7.02E-01,-3.62E-01,7.76E-01,6.82E-01,-3.57E-01,6.84E-01,6.65E-01,-3.45E-01,6.76E-01,6.57E-01,-3.43E-01
7.42E-01,7.21E-01,-3.66E-01,7.84E-01,6.95E-01,-3.61E-01,6.92E-01,6.79E-01,-3.49E-01,6.84E-01,6.72E-01,-3.48E-01
7.51E-01,7.36E-01,-3.67E-01,7.92E-01,7.15E-01,-3.66E-01,7.01E-01,6.97E-01,-3.54E-01,6.92E-01,6.89E-01,-3.52E-01
7.59E-01,7.53E-01,-3.64E-01,8.01E-01,7.30E-01,-3.67E-01,7.09E-01,7.14E-01,-3.56E-01,7.01E-01,7.06E-01,-3.55E-01
7.67E-01,7.70E-01,-3.60E-01,8.09E-01,7.48E-01,-3.66E-01,7.17E-01,7.30E-01,-3.55E-01,7.09E-01,7.23E-01,-3.55E-01
7.76E-01,7.85E-01,-3.54E-01,8.17E-01,7.65E-01,-3.62E-01,7.26E-01,7.47E-01,-3.51E-01,7.17E-01,7.41E-01,-3.52E-01
7.84E-01,8.01E-01,-3.46E-01,8.26E-01,7.80E-01,-3.56E-01,7.34E-01,7.63E-01,-3.46E-01,7.26E-01,7.56E-01,-3.47E-01
7.92E-01,8.14E-01,-3.36E-01,8.34E-01,7.96E-01,-3.49E-01,7.42E-01,7.78E-01,-3.39E-01,7.34E-01,7.72E-01,-3.41E-01
