t1,x1,t2,x2,t3,x3,t4,x4,t6,x6
0.00E+00,2.61E-03,0.00E+00,3.91E-03,0.00E+00,-3.16E-02,0.00E+00,-1.29E-03,0.00E+00,3.56E-03
1.67E-02,1.13E-03,1.67E-02,-1.32E-03,1.67E-02,-4.20E-02,1.67E-02,-2.17E-02,1.67E-02,-4.70E-03
3.34E-02,-4.91E-04,3.34E-02,-6.36E-03,3.34E-02,-5.56E-02,3.34E-02,-4.23E-02,3.34E-02,-1.89E-02
5.01E-02,-3.86E-03,5.00E-02,-1.29E-02,5.01E-02,-7.22E-02,5.01E-02,-6.67E-02,5.00E-02,-3.65E-02
6.67E-02,-8.84E-03,6.67E-02,-2.21E-02,6.67E-02,-8.91E-02,6.67E-02,-9.45E-02,6.67E-02,-5.69E-02
8.34E-02,-1.40E-02,8.34E-02,-3.19E-02,8.34E-02,-1.10E-01,8.34E-02,-1.26E-01,8.34E-02,-7.96E-02
1.00E-01,-1.83E-02,1.00E-01,-4.50E-02,1.00E-01,-1.33E-01,1.00E-01,-1.59E-01,1.00E-01,-1.06E-01
1.17E-01,-2.14E-02,1.17E-01,-6.22E-02,1.17E-01,-1.64E-01,1.17E-01,-1.95E-01,1.17E-01,-1.36E-01
1.33E-01,-2.51E-02,1.33E-01,-7.95E-02,1.33E-01,-1.96E-01,1.33E-01,-2.33E-01,1.33E-01,-1.68E-01
1.50E-01,-3.15E-02,1.50E-01,-9.97E-02,1.50E-01,-2.30E-01,1.50E-01,-2.74E-01,1.50E-01,-2.02E-01
1.67E-01,-4.07E-02,1.67E-01,-1.24E-01,1.67E-01,-2.66E-01,1.67E-01,-3.17E-01,1.67E-01,-2.41E-01
1.84E-01,-5.21E-02,1.84E-01,-1.56E-01,1.84E-01,-3.02E-01,1.84E-01,-3.62E-01,1.84E-01,-2.81E-01
2.00E-01,-6.63E-02,2.00E-01,-1.86E-01,2.00E-01,-3.46E-01,2.00E-01,-4.10E-01,2.00E-01,-3.21E-01
2.17E-01,-8.33E-02,2.17E-01,-2.23E-01,2.17E-01,-3.81E-01,2.17E-01,-4.61E-01,2.17E-01,-3.64E-01
2.34E-01,-1.04E-01,2.34E-01,-2.66E-01,2.34E-01,-4.27E-01,2.34E-01,-5.13E-01,2.34E-01,-4.08E-01
2.50E-01,-1.25E-01,2.50E-01,-2.99E-01,2.50E-01,-4.74E-01,2.50E-01,-5.68E-01,2.50E-01,-4.55E-01
2.67E-01,-1.49E-01,2.67E-01,-3.34E-01,2.67E-01,-5.23E-01,2.67E-01,-6.25E-01,2.67E-01,-5.05E-01
2.84E-01,-1.76E-01,2.84E-01,-3.83E-01,2.84E-01,-5.77E-01,2.84E-01,-6.85E-01,2.84E-01,-5.57E-01
3.00E-01,-2.05E-01,3.00E-01,-4.18E-01,3.00E-01,-6.31E-01,3.00E-01,-7.46E-01,3.00E-01,-6.10E-01
3.17E-01,-2.35E-01,3.17E-01,-4.65E-01,3.17E-01,-6.92E-01,3.17E-01,-8.12E-01,3.17E-01,-6.66E-01
3.34E-01,-2.66E-01,3.34E-01,-5.16E-01,3.34E-01,-7.56E-01,3.34E-01,-8.78E-01,3.34E-01,-7.23E-01
3.50E-01,-3.00E-01,3.50E-01,-5.70E-01,3.50E-01,-8.25E-01,3.50E-01,-9.46E-01,3.50E-01,-7.82E-01
3.67E-01,-3.38E-01,3.67E-01,-6.26E-01,,,3.67E-01,-1.02E+00,3.67E-01,-8.44E-01
3.84E-01,-3.77E-01,3.84E-01,-6.88E-01,,,3.84E-01,-1.09E+00,3.84E-01,-9.08E-01
4.00E-01,-4.21E-01,4.00E-01,-7.48E-01,,,,,4.00E-01,-9.74E-01
4.17E-01,-4.67E-01,4.17E-01,-8.11E-01,,,,,4.17E-01,-1.04E+00
4.34E-01,-5.17E-01,4.34E-01,-8.78E-01,,,,,0.433766667,-1.111634055
4.50E-01,-5.69E-01,,,,,,,,
4.67E-01,-6.25E-01,,,,,,,,
4.84E-01,-6.82E-01,,,,,,,,
5.01E-01,-7.42E-01,,,,,,,,
5.17E-01,-8.03E-01,,,,,,,,
5.34E-01,-8.64E-01,,,,,,,,
5.51E-01,-9.26E-01,,,,,,,,
5.67E-01,-9.91E-01,,,,,,,,
5.84E-01,-1.06E+00,,,,,,,,
6.01E-01,-1.13E+00,,,,,,,,
